dataset,removed_fraction,arm,descriptive_evaluations,f1,precision,recall,false_positive_rate,average_precision,accuracy
cadets,0.0,mlp,3,0.0015450178797802496,0.0032645873360805816,0.0010119881675229644,0.011527801576214858,0.170180132989187,0.9529574370589788
cadets,0.0,gin,3,0.0015866901875831953,0.003366604783596366,0.0010379365820748353,0.011462940751088354,0.18985837013859697,0.9530208983695111
cadets,0.0,isolation_forest,3,0.0005874063595276572,0.001219588051834043,0.0003892262182780632,0.01220254777193385,0.16882827828232103,0.9522845605164257
cadets,0.0,type_rarity,3,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214,0.9637962555960277
cadets,0.0,quality_gate,3,0.0015866594826837324,0.0033663276820529316,0.0010379365820748353,0.01146390882310517,0.16987740610851,0.9530199651149444
cadets,0.0,confidence_selector,3,0.0015864139750099988,0.003364115904101401,0.0010379365820748353,0.011471653399239676,0.17473215155828478,0.9530124990784111
cadets,0.25,mlp,6,0.001492554032342085,0.003710842958568695,0.0009341429238673517,0.00935690007851064,0.131320669822218,0.9550474606609868
cadets,0.25,gin,6,0.0014943967293727005,0.003733709744367268,0.0009341429238673517,0.009299299793510239,0.1432809453908684,0.9551029893077024
cadets,0.25,isolation_forest,6,0.0006020311811300809,0.0015189651710910542,0.00037625201100212775,0.009369485014729216,0.12705166584944472,0.9550152633784377
cadets,0.25,type_rarity,6,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214,0.9637962555960277
cadets,0.25,quality_gate,6,0.0014936987851670372,0.0037249930564677686,0.0009341429238673517,0.009321081413888542,0.12474629187992337,0.9550819910799527
cadets,0.25,confidence_selector,6,0.0014928469696918495,0.0037144155770956165,0.0009341429238673517,0.009347703394350912,0.12942847601862967,0.9550563265793701
cadets,0.5,mlp,6,0.0013498794746173515,0.004586315813292354,0.0007914266438320618,0.006407668679288389,0.10258642296605357,0.9578854877981632
cadets,0.5,gin,6,0.0013521002506291832,0.004638528792196576,0.0007914266438320618,0.006336031350044193,0.10661389315688134,0.9579545486360951
cadets,0.5,isolation_forest,6,0.00046594915819304943,0.0016287844716035137,0.0002724583527946442,0.006246968724497353,0.0903836008893865,0.9580217429648936
cadets,0.5,type_rarity,6,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214,0.9637962555960277
cadets,0.5,quality_gate,6,0.0013513162744756186,0.004619691619496906,0.0007914266438320618,0.006361685258489749,0.08174820579582746,0.9579298173900791
cadets,0.5,confidence_selector,6,0.001349556137820426,0.004578830925882955,0.0007914266438320618,0.0064183174714733384,0.08927182925162297,0.9578752219979302
cadets,0.75,mlp,6,0.000983413107877205,0.006514718380228064,0.000531942498313353,0.0030092518642646864,0.0906432156437867,0.9611523454087142
cadets,0.75,gin,6,0.0009617593116628886,0.006569683019401271,0.0005189682910374175,0.002916316950650593,0.09228954842551775,0.9612414712198291
cadets,0.75,isolation_forest,6,0.00014820954094693382,0.0015543407942230985,7.784524365561262e-05,0.0018582142362734647,0.06496115434013154,0.9622456531335423
cadets,0.75,type_rarity,6,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214,0.9637962555960277
cadets,0.75,quality_gate,6,0.0009612984057349321,0.006523023556621824,0.0005189682910374175,0.002937614535020489,0.051023412584008575,0.9612209396193628
cadets,0.75,confidence_selector,6,0.00098339560512868,0.006512924639916186,0.000531942498313353,0.0030102199362815004,0.06436905055892923,0.9611514121541475
cadets,1.0,mlp,6,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214,0.9637962555960277
cadets,1.0,gin,6,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214,0.9637962555960277
cadets,1.0,isolation_forest,6,0.0,0.0,0.0,0.0,0.05692335672209129,0.9640342355105229
cadets,1.0,type_rarity,6,0.0,0.0,0.0,0.0002468583642874361,0.09904588993763214,0.9637962555960277
cadets,1.0,quality_gate,6,0.0,0.0,0.0,0.0002468583642874361,0.035861737751536144,0.9637962555960277
cadets,1.0,confidence_selector,6,0.0,0.0,0.0,0.0002468583642874361,0.056923121813568144,0.9637962555960277
theia,0.0,mlp,3,0.0007659989423563999,0.0032337120112778937,0.00043445633713811766,0.010614142729541793,0.3831133626772139,0.916759241265357
theia,0.0,gin,3,0.0007605024811223796,0.0030523596776642257,0.00043445633713811766,0.01126630938368686,0.36166305264525184,0.9161549684279527
theia,0.0,isolation_forest,3,0.03313046720674236,0.11230938688276791,0.019432047079268534,0.011352917115357325,0.6680877238076461,0.9174698661221443
theia,0.0,type_rarity,3,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
theia,0.0,quality_gate,3,0.0007605024811223796,0.0030523596776642257,0.00043445633713811766,0.01126630938368686,0.3820436570489744,0.9161549684279527
theia,0.0,confidence_selector,3,0.0007604139759521293,0.0030492979953408647,0.00043445633713811766,0.01127674405015318,0.382033071012295,0.9161453000625542
theia,0.25,mlp,6,0.0006065499237688602,0.0031384295800779686,0.0003357162605158182,0.008451036371073436,0.37679658784960796,0.9187562421384103
theia,0.25,gin,6,0.000606447736488335,0.003132997191123128,0.0003357162605158182,0.008465644904126286,0.36041770286184344,0.9187427064268525
theia,0.25,isolation_forest,6,0.015269987705988919,0.06867272134815383,0.008590386666140053,0.008767728498326278,0.6119284091173727,0.9190690137590507
theia,0.25,type_rarity,6,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
theia,0.25,quality_gate,6,0.000606447736488335,0.003132997191123128,0.0003357162605158182,0.008465644904126286,0.3741899938328029,0.9187427064268525
theia,0.25,confidence_selector,6,0.0006063900326864719,0.003129910559041798,0.0003357162605158182,0.008473992637299341,0.3756020199699989,0.9187349717345339
theia,0.5,mlp,6,0.0005849451450800474,0.003933338209176045,0.0003159682451913583,0.006342190278229947,0.377324836465704,0.9207087685306309
theia,0.5,gin,6,0.0005855586722805403,0.003989377780501035,0.0003159682451913583,0.006252452146619586,0.3656230270702358,0.9207919164730577
theia,0.5,isolation_forest,6,0.0049303035282954105,0.03375825631024555,0.002659399397027265,0.005666023891212342,0.5636347865869483,0.9215073755125442
theia,0.5,type_rarity,6,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
theia,0.5,quality_gate,6,0.0005855586722805403,0.003989377780501035,0.0003159682451913583,0.006252452146619586,0.3758625993828903,0.9207919164730577
theia,0.5,confidence_selector,6,0.0005852731485873095,0.003963113566716486,0.0003159682451913583,0.00629419081248487,0.37585828863434484,0.9207532430114638
theia,0.75,mlp,6,0.00033984509517271934,0.0038680522898207827,0.00017773213792013904,0.003649524596595795,0.3884172911347146,0.9231935384380369
theia,0.75,gin,6,0.00034011229919077025,0.003937815288233888,0.00017773213792013904,0.003581177531241391,0.3794245327303871,0.9232568662313968
theia,0.75,isolation_forest,6,0.0007788958141288425,0.013041667312206873,0.0004015429782640179,0.0021871060913408965,0.5337666850262548,0.9245649960698095
theia,0.75,type_rarity,6,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
theia,0.75,quality_gate,6,0.00034011229919077025,0.003937815288233888,0.00017773213792013904,0.003581177531241391,0.3876157660909127,0.9232568662313968
theia,0.75,confidence_selector,6,0.00033996815253525543,0.003899704161853835,0.00017773213792013904,0.0036171771305501988,0.38625582781286294,0.9232235103707721
theia,1.0,mlp,6,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
theia,1.0,gin,6,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
theia,1.0,isolation_forest,6,0.0,0.0,0.0,0.0,0.5473609663046802,0.9265619969428629
theia,1.0,type_rarity,6,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
theia,1.0,quality_gate,6,0.0,0.0,0.0,9.391199819688963e-06,0.42766095439650953,0.9265532954140042
theia,1.0,confidence_selector,6,0.0,0.0,0.0,9.391199819688963e-06,0.4276823881018869,0.9265532954140042
