record_id,group_id,attack,eligible,keep_all,marginal_order_statistic_formula_only,pac_score_only,pac_score_and_predicates
artificial-test-1-0,artificial-test-1-0,True,False,False,False,False,False
artificial-test-1-1,artificial-test-1-1,True,True,False,False,False,False
artificial-test-1-2,artificial-test-1-2,True,True,False,False,False,False
artificial-test-1-3,artificial-test-1-3,True,True,False,False,False,False
artificial-test-1-4,artificial-test-1-4,True,False,False,False,False,False
artificial-test-1-5,artificial-test-1-5,True,True,False,False,False,False
artificial-test-1-6,artificial-test-1-6,True,False,False,False,False,False
artificial-test-1-7,artificial-test-1-7,True,True,False,False,False,False
artificial-test-1-8,artificial-test-1-8,True,False,False,False,False,False
artificial-test-1-9,artificial-test-1-9,True,True,False,False,False,False
artificial-test-1-10,artificial-test-1-10,True,True,False,False,False,False
artificial-test-1-11,artificial-test-1-11,True,True,False,False,False,False
artificial-test-1-12,artificial-test-1-12,True,True,False,False,False,False
artificial-test-1-13,artificial-test-1-13,True,False,False,False,False,False
artificial-test-1-14,artificial-test-1-14,True,False,False,False,False,False
artificial-test-1-15,artificial-test-1-15,True,False,False,False,False,False
artificial-test-1-16,artificial-test-1-16,True,False,False,False,False,False
artificial-test-1-17,artificial-test-1-17,True,True,False,False,False,False
artificial-test-1-18,artificial-test-1-18,True,True,False,False,False,False
artificial-test-1-19,artificial-test-1-19,True,False,False,False,False,False
artificial-test-1-20,artificial-test-1-20,True,False,False,False,False,False
artificial-test-1-21,artificial-test-1-21,True,True,False,False,False,False
artificial-test-1-22,artificial-test-1-22,True,True,False,True,False,False
artificial-test-1-23,artificial-test-1-23,True,False,False,False,False,False
artificial-test-1-24,artificial-test-1-24,True,True,False,False,False,False
artificial-test-1-25,artificial-test-1-25,True,True,False,False,False,False
artificial-test-1-26,artificial-test-1-26,True,True,False,False,False,False
artificial-test-1-27,artificial-test-1-27,True,True,False,False,False,False
artificial-test-1-28,artificial-test-1-28,True,True,False,True,True,True
artificial-test-1-29,artificial-test-1-29,True,True,False,False,False,False
artificial-test-1-30,artificial-test-1-30,True,False,False,False,False,False
artificial-test-1-31,artificial-test-1-31,True,False,False,False,False,False
artificial-test-1-32,artificial-test-1-32,True,False,False,False,False,False
artificial-test-1-33,artificial-test-1-33,True,False,False,False,False,False
artificial-test-1-34,artificial-test-1-34,True,False,False,False,False,False
artificial-test-1-35,artificial-test-1-35,True,True,False,False,False,False
artificial-test-1-36,artificial-test-1-36,True,True,False,False,False,False
artificial-test-1-37,artificial-test-1-37,True,True,False,False,False,False
artificial-test-1-38,artificial-test-1-38,True,True,False,False,False,False
artificial-test-1-39,artificial-test-1-39,True,True,False,False,False,False
artificial-test-1-40,artificial-test-1-40,True,True,False,False,False,False
artificial-test-1-41,artificial-test-1-41,True,True,False,False,False,False
artificial-test-1-42,artificial-test-1-42,True,True,False,False,False,False
artificial-test-1-43,artificial-test-1-43,True,True,False,False,False,False
artificial-test-1-44,artificial-test-1-44,True,True,False,False,False,False
artificial-test-1-45,artificial-test-1-45,True,True,False,False,False,False
artificial-test-1-46,artificial-test-1-46,True,True,False,False,False,False
artificial-test-1-47,artificial-test-1-47,True,True,False,False,False,False
artificial-test-1-48,artificial-test-1-48,True,True,False,False,False,False
artificial-test-1-49,artificial-test-1-49,True,True,False,False,False,False
artificial-test-1-50,artificial-test-1-50,True,True,False,False,False,False
artificial-test-1-51,artificial-test-1-51,True,True,False,False,False,False
artificial-test-1-52,artificial-test-1-52,True,False,False,False,False,False
artificial-test-1-53,artificial-test-1-53,True,False,False,False,False,False
