study,dataset,condition,view,arm,budget,reference_only,class,n_views,support,support_available_views,predicted_count,predicted_count_available_views,true_positive_count,true_positive_count_available_views,precision,precision_available_views,exact_recall,exact_recall_available_views,f1,f1_available_views,average_precision,average_precision_available_views,roc_auc,roc_auc_available_views,warning_recall,warning_recall_available_views,missed_warning_count,missed_warning_count_available_views,wrong_attack_stage_count,wrong_attack_stage_count_available_views
PX080,UNRAVELED,clean,,current_roles,,False,Benign,3,192193,3,193214.66666666666,3,192053.66666666666,3,0.993991145962658,3,0.9992750342971215,3,0.9966260811796223,3,0.9999764141855892,3,0.9997337457612411,3,,0,,0,,0
PX080,UNRAVELED,clean,,current_roles,,False,OtherAttackStage,3,12424,3,12028.333333333334,3,12027.666666666666,3,0.9999445875870369,3,0.9680993775488302,3,0.9837642942505791,3,0.9909292530266371,3,0.9986822946152083,3,0.996941403734707,3,38,3,358.3333333333333,3
PX080,UNRAVELED,clean,,current_roles,,False,LateralMovement,3,35,3,161.33333333333334,3,27.333333333333332,3,0.17094867688553345,3,0.780952380952381,3,0.2799182526229965,3,0.1902655165268265,3,0.9989369086927953,3,0.780952380952381,3,7.666666666666667,3,0,3
PX080,UNRAVELED,clean,,current_roles,,False,DataExfiltration,3,3442,3,2689.6666666666665,3,2323.3333333333335,3,0.8638152935686125,3,0.6749951578539609,3,0.7578172384413864,3,0.6847752585792851,3,0.9727752193924762,3,0.6759635870617857,3,1115.3333333333333,3,3.3333333333333335,3
PX080,UNRAVELED,clean,,context,,False,Benign,3,192193,3,193345.33333333334,3,192144.66666666666,3,0.9937900434078737,3,0.9997485166820158,3,0.9967603745353576,3,0.9999919707959772,3,0.9999029855718258,3,,0,,0,,0
PX080,UNRAVELED,clean,,context,,False,OtherAttackStage,3,12424,3,12051.666666666666,3,12050.333333333334,3,0.999889372877387,3,0.9699238033912857,3,0.9846786536021617,3,0.9989597105287961,3,0.9999277029185406,3,0.9943389139300279,3,70.33333333333333,3,303.3333333333333,3
PX080,UNRAVELED,clean,,context,,False,LateralMovement,3,35,3,80,3,18.333333333333332,3,0.23048516352609918,3,0.5238095238095238,3,0.3182657699899079,3,0.18185693033061898,3,0.9985940343387029,3,0.5238095238095238,3,16.666666666666668,3,0,3
PX080,UNRAVELED,clean,,context,,False,DataExfiltration,3,3442,3,2617,3,2313.3333333333335,3,0.8839679655761035,3,0.6720898702304862,3,0.7636031864254563,3,0.8777024385431742,3,0.9964508064689201,3,0.6764478016656982,3,1113.6666666666667,3,15,3
PX080,UNRAVELED,clean,,fixed_fusion,,False,Benign,3,192193,3,193297.66666666666,3,192117,3,0.9938919878092892,3,0.9996045641620662,3,0.9967400818980416,3,0.9999909584679963,3,0.9998916066537072,3,,0,,0,,0
PX080,UNRAVELED,clean,,fixed_fusion,,False,OtherAttackStage,3,12424,3,12056.333333333334,3,12055.333333333334,3,0.9999170560415797,3,0.9703262502682979,3,0.9848994404555486,3,0.9988005387647301,3,0.9999141185453434,3,0.9960291908134793,3,49.333333333333336,3,319.3333333333333,3
