configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,class,support,predicted_count,true_positive_count,precision,exact_recall,f1,average_precision,roc_auc,ranking_metric_status,recall_supported,warning_recall,missed_warning_count,wrong_attack_stage_count,target_false_negative_count,warning_scope
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,Benign,192193,193242,192076,0.993966115026754,0.9993912369337072,0.9966712934736077,0.9999742065073626,0.9997116687033238,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12035,12034,0.9999169090153718,0.9686091435930457,0.9840140643525901,0.9907065892289245,0.998575682974584,source reported; blank if unsupported,True,0.9968609143593046,39,351,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,LateralMovement,35,141,26,0.18439716312056736,0.7428571428571429,0.29545454545454547,0.21030843825527948,0.9989176147150568,source reported; blank if unsupported,True,0.7428571428571429,9,0,,Any non-benign predicted label
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2676,2324,0.8684603886397608,0.6751888436955259,0.7597254004576659,0.6890127447424923,0.9709320864046839,source reported; blank if unsupported,True,0.6751888436955258,1118,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,Benign,192193,193353,192151,0.993783390999881,0.9997814696685103,0.9967734070642673,0.9999925541906485,0.9999096853728824,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12055,12053,0.9998340937370386,0.9701384417256922,0.9847624494464643,0.9988571976158032,0.9999206109929688,source reported; blank if unsupported,True,0.9949291693496458,63,308,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,LateralMovement,35,64,16,0.25,0.45714285714285713,0.32323232323232326,0.15116244527416056,0.9980423135470502,source reported; blank if unsupported,True,0.4571428571428572,19,0,,Any non-benign predicted label
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2622,2313,0.8821510297482837,0.6719930273097037,0.7628627968337731,0.8455069652485913,0.9952176650595811,source reported; blank if unsupported,True,0.6746077861708308,1120,9,,Any non-benign predicted label
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,Benign,192193,193330,192142,0.9938550664666632,0.9997346417403339,0.9967861839630839,0.9999925817258688,0.9999100361512333,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12058,12057,0.9999170675070492,0.970460399227302,0.9849685483212156,0.9987904594941349,0.9999152025281669,source reported; blank if unsupported,True,0.9959755312298777,50,317,,Any non-benign predicted label
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,LateralMovement,35,68,17,0.25,0.4857142857142857,0.3300970873786408,0.2158603228010793,0.9989125337387128,source reported; blank if unsupported,True,0.48571428571428577,18,0,,Any non-benign predicted label
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,DataExfiltration,3442,2638,2321,0.879833206974981,0.6743172574084835,0.7634868421052632,0.7214663700512246,0.9756674509764015,source reported; blank if unsupported,True,0.6746077861708308,1120,1,,Any non-benign predicted label
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,Benign,192193,193329,192141,0.9938550346818118,0.9997294386372032,0.9967835817411198,0.9999887859464761,0.9998670163932495,source reported; blank if unsupported,True,,,,,Any non-benign predicted label
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,OtherAttackStage,12424,12059,12058,0.9999170743842773,0.9705408886027045,0.9850100069435935,0.9952160933549388,0.9995702041355685,source reported; blank if unsupported,True,0.9959755312298777,50,316,,Any non-benign predicted label
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,LateralMovement,35,69,17,0.2463768115942029,0.4857142857142857,0.3269230769230769,0.16085180178912437,0.9980851585367612,source reported; blank if unsupported,True,0.48571428571428577,18,0,,Any non-benign predicted label
