configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,seed,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,negative_definition,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,policy,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,chronological_all_fit_before_test,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,20260924,208094,0.7589663259346022,0.024099685718953934,117,0.7428571428571429,192193,117,0.0006087630662927369,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29545454545454547,9,3442,0.6751888436955259,0.6751888436955258,0.7597254004576659,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,20260924,208094,0.7669077441442069,0.024051630513133488,42,0.45714285714285713,192193,42,0.00021853033148970045,Author benign flow labels,35,0.45714285714285713,0.4571428571428572,0.32323232323232326,19,3442,0.6719930273097037,0.6746077861708308,0.7628627968337731,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,20260924,208094,0.7688346654420508,0.023902659375090105,51,0.4857142857142857,192193,51,0.00026535825966606484,Author benign flow labels,35,0.4857142857142857,0.48571428571428577,0.3300970873786408,18,3442,0.6743172574084835,0.6746077861708308,0.7634868421052632,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0003,PX080,UNRAVELED,clean,,confidence_gate,,False,20260924,,3,px080_context_selector/results/METRICS.json,20260924,208094,0.7680822754659383,0.023902659375090105,52,0.4857142857142857,192193,52,0.000270561362796772,Author benign flow labels,35,0.4857142857142857,0.48571428571428577,0.3269230769230769,18,3442,0.6743172574084835,0.6746077861708308,0.7636124362559632,1120,0.7640153007775332,16,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0004,PX080,UNRAVELED,clean,,ordinary_gate,,False,20260924,,4,px080_context_selector/results/METRICS.json,20260924,208094,0.7711082749743208,0.023820965525195345,54,0.5428571428571428,192193,54,0.0002809675690581863,Author benign flow labels,35,0.5428571428571428,0.5428571428571429,0.3392857142857143,16,3442,0.6748983149331784,0.6769320162696106,0.7632659766715952,1112,0.001605043874402914,12,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0005,PX080,UNRAVELED,clean,,stage_harm_gate,,False,20260924,,5,px080_context_selector/results/METRICS.json,20260924,208094,0.7533013911542451,0.02414774092477438,95,0.6,192193,95,0.0004942947974171796,Author benign flow labels,35,0.6,0.6,0.2692307692307692,14,3442,0.6722835560720511,0.6748983149331784,0.7621870882740448,1119,0.003517641066056686,19,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0006,PX080,UNRAVELED,clean,,context_dropout,,False,20260924,,6,px080_context_selector/results/METRICS.json,20260924,208094,0.7642897454521658,0.023921881457418283,63,0.45714285714285713,192193,63,0.0003277954972345507,Author benign flow labels,35,0.45714285714285713,0.4571428571428572,0.3137254901960784,19,3442,0.674607786170831,0.6772225450319582,0.761686075118911,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0007,PX080,UNRAVELED,missing_half,,current_roles,,False,20260924,,7,px080_context_selector/results/METRICS.json,20260924,208094,0.7589663259346022,0.024099685718953934,117,0.7428571428571429,192193,117,0.0006087630662927369,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29545454545454547,9,3442,0.6751888436955259,0.6751888436955258,0.7597254004576659,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0008,PX080,UNRAVELED,missing_half,,context,,False,20260924,,8,px080_context_selector/results/METRICS.json,20260924,208094,0.667203962354345,0.053413361269426314,25,0.2857142857142857,192193,25,0.00013007757826767884,Author benign flow labels,35,0.2857142857142857,0.2857142857142857,0.2702702702702703,25,3442,0.6693782684485764,0.6711214410226612,0.767105044115199,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0009,PX080,UNRAVELED,missing_half,,fixed_fusion,,False,20260924,,9,px080_context_selector/results/METRICS.json,20260924,208094,0.7609602277371268,0.024166963007102558,39,0.37142857142857144,192193,39,0.000202921022097579,Author benign flow labels,35,0.37142857142857144,0.37142857142857144,0.2988505747126437,22,3442,0.6731551423590936,0.673445671121441,0.7648126753589701,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
