study,dataset,condition,view,arm,budget,reference_only,n_views,mean_definition,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,context_selected_fraction,selected_context_harm_count,selected_context_help_count,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered,seconds,normal_false_attack_rate,test_rows_with_current_fingerprint_in_training,training_rows_ending_after_first_test_start,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error
PX080,UNRAVELED,clean,,current_roles,,False,3,three fits on same evaluation events,208094,0.754531466623646,0.024224629254087096,139.33333333333334,0.780952380952381,192193,139.33333333333334,0.0007249657028785301,35,0.780952380952381,0.780952380952381,0.2799182526229965,7.666666666666667,3442,0.6749951578539609,0.6759635870617857,0.7578172384413864,1115.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,clean,,context,,False,3,three fits on same evaluation events,208094,0.7658269961382208,0.024043621312163414,48.333333333333336,0.5238095238095238,192193,48.333333333333336,0.00025148331798417907,35,0.5238095238095238,0.5238095238095238,0.3182657699899079,16.666666666666668,3442,0.6720898702304862,0.6764478016656982,0.7636031864254563,1113.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,clean,,fixed_fusion,,False,3,three fits on same evaluation events,208094,0.7655362425610669,0.02396032562207464,76,0.6,192193,76,0.0003954358379337437,35,0.6,0.6,0.31737905341279526,14,3442,0.674220414487701,0.6753825295370908,0.7631263944778822,1117.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,clean,,confidence_gate,,False,3,three fits on same evaluation events,208094,0.7649999013855385,0.02396352930246267,77,0.6,192193,77,0.00040063894106445085,35,0.6,0.6,0.3153035489101063,14,3442,0.674220414487701,0.6753825295370908,0.7630427319696106,1117.3333333333333,0.7017389577146226,13,94.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,clean,,ordinary_gate,,False,3,three fits on same evaluation events,208094,0.7658658049013705,0.02398755690537289,85.66666666666667,0.6476190476190476,192193,85.66666666666667,0.0004457325015305795,35,0.6476190476190476,0.6476190476190476,0.3195054945054945,12.333333333333334,3442,0.673639356963006,0.6768351733488281,0.7621340500819794,1112.3333333333333,0.0035464741895489538,12.333333333333334,89.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,clean,,stage_harm_gate,,False,3,three fits on same evaluation events,208094,0.7559907914300522,0.024122111481670143,109,0.6952380952380952,192193,109,0.0005671382412470798,35,0.6952380952380952,0.6952380952380952,0.2796863780603618,10.666666666666666,3442,0.6727677706759636,0.6780941313190006,0.7624888029536466,1108,0.002820840581660211,14,67.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,clean,,context_dropout,,False,3,three fits on same evaluation events,208094,0.7589147658009727,0.023965131142656686,68.66666666666667,0.5142857142857142,192193,68.66666666666667,0.0003572797483085579,35,0.5142857142857142,0.5142857142857143,0.2917974478540903,17,3442,0.6741235715669185,0.6782878171605655,0.7620979107958206,1107.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,missing_half,,current_roles,,False,3,three fits on same evaluation events,208094,0.754531466623646,0.024224629254087096,139.33333333333334,0.780952380952381,192193,139.33333333333334,0.0007249657028785301,35,0.780952380952381,0.780952380952381,0.2799182526229965,7.666666666666667,3442,0.6749951578539609,0.6759635870617857,0.7578172384413864,1115.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,missing_half,,context,,False,3,three fits on same evaluation events,208094,0.6626479367009575,0.05339253734690412,28.666666666666668,0.29523809523809524,192193,28.666666666666668,0.00014915562308027175,35,0.29523809523809524,0.29523809523809524,0.2522980444328759,24.666666666666668,3442,0.6698624830524889,0.6726709277551811,0.7668124462957305,1126.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX080,UNRAVELED,missing_half,,fixed_fusion,,False,3,three fits on same evaluation events,208094,0.7602150775043732,0.024391220634264642,54.333333333333336,0.4476190476190476,192193,54.333333333333336,0.000282701936768422,35,0.4476190476190476,0.44761904761904764,0.2988540817310643,19.333333333333332,3442,0.6733488282006586,0.6741235715669185,0.7638174848663488,1121.6666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
