configuration_id,study,dataset,condition,view,arm,budget,reference_only,fit_seed,perturbation_seed,source_record_index,source_path,subgroup_type,subgroup_id,rows,macro_f1,stage_weighted_error,normal_false_attacks,movement_any_attack_recall,negative_support,negative_flags,negative_flag_rate,negative_definition,movement_support,movement_exact_recall,movement_warning_recall,movement_f1,movement_missed_warning_count,exfiltration_support,exfiltration_exact_recall,exfiltration_warning_recall,exfiltration_f1,exfiltration_missed_warning_count,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,seed,policy,capture,n,errors,weighted_error_total,benign_false_alerts,movement_missed,exfiltration_missed,movement_as_exfiltration,mean_spend,mean_elapsed,query_rate,mean_queries,mean_delivered
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8716154050752153,0.0009084328114576088,29,0.8333333333333334,62400,29,0.00046474358974358973,Author benign flow labels,18,0.8333333333333334,0.8333333333333334,0.4918032786885246,3,2253,0.9991122947181535,0.9991122947181535,0.9962381057756141,2,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.4994762394022071,0.0019776374838366166,59,,48951,59,0.0012052869195726338,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.5844715626166738,0.025403236521138364,18,0.5454545454545454,35261,18,0.000510478999461161,Author benign flow labels,11,0.5454545454545454,0.5454545454545454,0.34285714285714286,5,228,0.0,0.0,0.0,228,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.6041155746160464,0.04244869988959531,11,0.8333333333333334,25120,11,0.00043789808917197453,Author benign flow labels,6,0.8333333333333334,0.8333333333333334,0.45454545454545453,1,258,0.28294573643410853,0.2829457364341085,0.2225609756097561,185,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24583093041138024,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.0,0.0,694,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0000,PX080,UNRAVELED,clean,,current_roles,,False,20260924,,0,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.25001507113576077,1.6795722713864307,115,0.7428571428571429,1576,115,0.07296954314720812,Author benign flow labels,35,0.7428571428571429,0.7428571428571429,0.29545454545454547,9,1101,0.0,0.0,0.0,1101,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8820135385099228,0.0008942385487785837,7,0.5,62400,7,0.00011217948717948718,Author benign flow labels,18,0.5,0.5,0.5294117647058824,9,2253,0.9977807367953839,0.9982245894363071,0.9988891357476116,4,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.49986337717628493,0.0012740549174716665,30,,48951,30,0.0006128577557148986,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.6239280581026152,0.025031222597188638,3,0.45454545454545453,35261,3,8.507983324352685e-05,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5,6,228,0.0,0.00877192982456143,0.0,226,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,9,26267,0.5957517937128757,0.0440476643697415,2,0.3333333333333333,25120,2,7.961783439490445e-05,Author benign flow labels,6,0.3333333333333333,0.33333333333333337,0.4444444444444444,4,258,0.25193798449612403,0.25193798449612403,0.20602218700475436,193,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,by_capture,10,21155,0.24586637827445326,0.13122193334909005,0,,20461,0,0.0,Author benign flow labels,0,0.0,,0.0,0,694,0.0,0.008645533141210415,0.0,688,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0001,PX080,UNRAVELED,clean,,context,,False,20260924,,1,px080_context_selector/results/METRICS.json,role_stratum,department_to_private_services,2712,0.26262626262626265,1.6666666666666667,40,0.45714285714285713,1576,40,0.025380710659898477,Author benign flow labels,35,0.45714285714285713,0.4571428571428572,0.32323232323232326,19,1101,0.0,0.0072661217075385975,0.0,1093,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,by_capture,6,70451,0.8779748805038223,0.0007806844473463826,11,0.5555555555555556,62400,11,0.0001762820512820513,Author benign flow labels,18,0.5555555555555556,0.5555555555555556,0.5128205128205128,8,2253,0.9986684420772304,0.9991122947181535,0.9993337774816788,2,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,by_capture,7,52588,0.4998161346803136,0.0013691336426561193,34,,48951,34,0.0006945721231435517,Author benign flow labels,0,0.0,,0.0,0,9,0.0,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,,,
PX080-0002,PX080,UNRAVELED,clean,,fixed_fusion,,False,20260924,,2,px080_context_selector/results/METRICS.json,by_capture,8,37633,0.637809817841124,0.025031222597188638,2,0.45454545454545453,35261,2,5.67198888290179e-05,Author benign flow labels,11,0.45454545454545453,0.4545454545454546,0.5555555555555556,6,228,0.0,0.0,0.0,228,,,,,,,,,,,,,,,,,,,,,,,,
