configuration_id,study,dataset,condition,arm,perturbation_seed,source_record_index,threshold,original_calibration_status,rows,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,negative_support,negative_flags,negative_flag_rate,negative_definition
PX083-native-0000,PX083-original-threshold-supplement,casino,clean,semantic_event,20260920,0,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.7,0.8235294117647058,0.7567567567567568,0.8674180483004013,0.960719171389486,6,0.006644518272425249,0.01956521739130435,903,6,0.006644518272425249,Other author technique labels; not verified benign
PX083-native-0001,PX083-original-threshold-supplement,casino,clean,entity_context,20260920,1,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.6086956521739131,0.8235294117647058,0.7,0.8522436792934762,0.976157905022474,9,0.009966777408637873,0.02282608695652174,903,9,0.009966777408637873,Other author technique labels; not verified benign
PX083-native-0002,PX083-original-threshold-supplement,casino,clean,mixed_dropout,20260920,2,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.8438442464409793,0.9693179597420364,13,0.014396456256921373,0.02717391304347826,903,13,0.014396456256921373,Other author technique labels; not verified benign
PX083-native-0003,PX083-original-threshold-supplement,casino,random_25,semantic_event,20260920,3,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2857142857142857,0.8235294117647058,0.42424242424242425,0.7483078117106412,0.9469741384926064,35,0.03875968992248062,0.051086956521739134,903,35,0.03875968992248062,Other author technique labels; not verified benign
PX083-native-0004,PX083-original-threshold-supplement,casino,random_25,entity_context,20260920,4,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.3611111111111111,0.7647058823529411,0.49056603773584906,0.7802181920596466,0.9621523027815777,23,0.02547065337763012,0.042391304347826085,903,23,0.02547065337763012,Other author technique labels; not verified benign
PX083-native-0005,PX083-original-threshold-supplement,casino,random_25,mixed_dropout,20260920,5,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.4827586206896552,0.8235294117647058,0.6086956521739131,0.813253439384234,0.956484919549215,15,0.016611295681063124,0.029347826086956522,903,15,0.016611295681063124,Other author technique labels; not verified benign
PX083-native-0006,PX083-original-threshold-supplement,casino,random_25,semantic_event,20260921,6,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.32,0.9411764705882353,0.47761194029850745,0.8344426149900934,0.9559637808611816,34,0.03765227021040975,0.041304347826086954,903,34,0.03765227021040975,Other author technique labels; not verified benign
PX083-native-0007,PX083-original-threshold-supplement,casino,random_25,entity_context,20260921,7,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.5,0.8235294117647058,0.6222222222222222,0.8143565506127978,0.9704905217901114,14,0.015503875968992248,0.02826086956521739,903,14,0.015503875968992248,Other author technique labels; not verified benign
PX083-native-0008,PX083-original-threshold-supplement,casino,random_25,mixed_dropout,20260921,8,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.5416666666666666,0.7647058823529411,0.6341463414634146,0.8148667040618678,0.9675591166699238,11,0.012181616832779624,0.029347826086956522,903,11,0.012181616832779624,Other author technique labels; not verified benign
PX083-native-0009,PX083-original-threshold-supplement,casino,random_25,semantic_event,20260922,9,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2692307692307692,0.8235294117647058,0.4057971014492754,0.7942262356715702,0.9837795583349619,38,0.042081949058693245,0.05434782608695652,903,38,0.042081949058693245,Other author technique labels; not verified benign
PX083-native-0010,PX083-original-threshold-supplement,casino,random_25,entity_context,20260922,10,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.42424242424242425,0.8235294117647058,0.56,0.8138149515611992,0.9815647189108202,19,0.021040974529346623,0.03369565217391304,903,19,0.021040974529346623,Other author technique labels; not verified benign
PX083-native-0011,PX083-original-threshold-supplement,casino,random_25,mixed_dropout,20260922,11,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.8046606166833207,0.9627385838056153,13,0.014396456256921373,0.02717391304347826,903,13,0.014396456256921373,Other author technique labels; not verified benign
PX083-native-0012,PX083-original-threshold-supplement,casino,random_50,semantic_event,20260920,12,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.15053763440860216,0.8235294117647058,0.2545454545454545,0.6734134967226401,0.9336851019477558,79,0.08748615725359911,0.09891304347826087,903,79,0.08748615725359911,Other author technique labels; not verified benign
PX083-native-0013,PX083-original-threshold-supplement,casino,random_50,entity_context,20260920,13,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2,0.7647058823529411,0.3170731707317073,0.7220505239493853,0.939157058172106,52,0.05758582502768549,0.07391304347826087,903,52,0.05758582502768549,Other author technique labels; not verified benign
PX083-native-0014,PX083-original-threshold-supplement,casino,random_50,mixed_dropout,20260920,14,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.2549019607843137,0.7647058823529411,0.38235294117647056,0.7731988424488405,0.9358999413718976,38,0.042081949058693245,0.058695652173913045,903,38,0.042081949058693245,Other author technique labels; not verified benign
PX083-native-0015,PX083-original-threshold-supplement,casino,random_50,semantic_event,20260921,15,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.14893617021276595,0.8235294117647058,0.25225225225225223,0.6187697226400014,0.9326753957396912,80,0.08859357696567,0.1,903,80,0.08859357696567,Other author technique labels; not verified benign
PX083-native-0016,PX083-original-threshold-supplement,casino,random_50,entity_context,20260921,16,0.532155799402524,EMPIRICAL_CALIBRATION_ONLY,920,17,0.25,0.7647058823529411,0.37681159420289856,0.716919256762103,0.9490912644127418,39,0.04318936877076412,0.059782608695652176,903,39,0.04318936877076412,Other author technique labels; not verified benign
PX083-native-0017,PX083-original-threshold-supplement,casino,random_50,mixed_dropout,20260921,17,0.5708619836583798,EMPIRICAL_CALIBRATION_ONLY,920,17,0.35135135135135137,0.7647058823529411,0.48148148148148145,0.7783323300212533,0.9612077389095173,24,0.026578073089700997,0.043478260869565216,903,24,0.026578073089700997,Other author technique labels; not verified benign
PX083-native-0018,PX083-original-threshold-supplement,casino,random_50,semantic_event,20260922,18,0.5191426734071131,EMPIRICAL_CALIBRATION_ONLY,920,17,0.1523809523809524,0.9411764705882353,0.26229508196721313,0.6723112301275921,0.9739430655983323,89,0.09856035437430787,0.10108695652173913,903,89,0.09856035437430787,Other author technique labels; not verified benign
