study,contrast,condition,budget,omitted_seed,metric,baseline,candidate,delta,f1_up_exfil_warning_down,f1_down_exfil_warning_up,sign_disagreement
PX081,harm_minus_entropy,clean,1,8101,macro_f1,0.722984357153045,0.7503001583712077,0.02731580121816274,True,False,True
PX081,harm_minus_entropy,clean,1,8101,exfil_warning_recall,0.8300406740267287,0.6772225450319582,-0.15281812899477043,True,False,True
PX081,harm_minus_entropy,clean,1,8101,movement_exact_recall,0.8285714285714285,0.7714285714285715,-0.057142857142857106,True,False,True
PX081,harm_minus_entropy,clean,1,8101,benign_false_alert_rate,0.0009209492541351662,0.0008455042587399125,-7.544499539525372e-05,True,False,True
PX081,harm_minus_entropy,clean,1,8101,exfil_to_benign_count,585.0,1111.0,526.0,True,False,True
PX081,harm_minus_entropy,clean,1,8101,benign_false_alert_count,177.0,162.5,-14.5,True,False,True
PX081,harm_minus_entropy,clean,1,8102,macro_f1,0.7231568528234449,0.7484654319364534,0.025308579113008545,True,False,True
PX081,harm_minus_entropy,clean,1,8102,exfil_warning_recall,0.8284427658338176,0.6794015107495642,-0.14904125508425337,True,False,True
PX081,harm_minus_entropy,clean,1,8102,movement_exact_recall,0.8428571428571429,0.8428571428571429,0.0,True,False,True
PX081,harm_minus_entropy,clean,1,8102,benign_false_alert_rate,0.0009131445994391054,0.0009131445994391055,5.421010862427522e-20,True,False,True
PX081,harm_minus_entropy,clean,1,8102,exfil_to_benign_count,590.5,1103.5,513.0,True,False,True
PX081,harm_minus_entropy,clean,1,8102,benign_false_alert_count,175.5,175.5,0.0,True,False,True
PX081,harm_minus_entropy,clean,1,8103,macro_f1,0.6956195847175684,0.751320754757819,0.0557011700402506,True,False,True
PX081,harm_minus_entropy,clean,1,8103,exfil_warning_recall,0.9800987797791981,0.6782393957001743,-0.3018593840790238,True,False,True
PX081,harm_minus_entropy,clean,1,8103,movement_exact_recall,0.7857142857142858,0.8428571428571429,0.057142857142857106,True,False,True
PX081,harm_minus_entropy,clean,1,8103,benign_false_alert_rate,0.0008819259806548625,0.0008897306353509233,7.804654696060747e-06,True,False,True
PX081,harm_minus_entropy,clean,1,8103,exfil_to_benign_count,68.5,1107.5,1039.0,True,False,True
PX081,harm_minus_entropy,clean,1,8103,benign_false_alert_count,169.5,171.0,1.5,True,False,True
PX081,harm_minus_entropy,clean,2,8101,macro_f1,0.7279740544634627,0.7543375788260718,0.026363524362609025,True,False,True
PX081,harm_minus_entropy,clean,2,8101,exfil_warning_recall,0.8252469494479954,0.6731551423590936,-0.1520918070889018,True,False,True
PX081,harm_minus_entropy,clean,2,8101,movement_exact_recall,0.5571428571428572,0.5285714285714286,-0.02857142857142858,True,False,True
PX081,harm_minus_entropy,clean,2,8101,benign_false_alert_rate,0.0004422637661101081,0.00047868548802505815,3.642172191495004e-05,True,False,True
PX081,harm_minus_entropy,clean,2,8101,exfil_to_benign_count,601.5,1125.0,523.5,True,False,True
PX081,harm_minus_entropy,clean,2,8101,benign_false_alert_count,85.0,92.0,7.0,True,False,True
PX081,harm_minus_entropy,clean,2,8102,macro_f1,0.7303337044616585,0.7586435802431777,0.028309875781519223,True,False,True
PX081,harm_minus_entropy,clean,2,8102,exfil_warning_recall,0.8251016850668216,0.6733004067402673,-0.15180127832655432,True,False,True
PX081,harm_minus_entropy,clean,2,8102,movement_exact_recall,0.7285714285714286,0.7,-0.02857142857142858,True,False,True
PX081,harm_minus_entropy,clean,2,8102,benign_false_alert_rate,0.000590552205335262,0.0005853491022045548,-5.2031031307071915e-06,True,False,True
PX081,harm_minus_entropy,clean,2,8102,exfil_to_benign_count,602.0,1124.5,522.5,True,False,True
PX081,harm_minus_entropy,clean,2,8102,benign_false_alert_count,113.5,112.5,-1.0,True,False,True
