study,contrast,condition,budget,seed,metric,baseline,candidate,delta,lower,upper,confidence,valid_replicates,undefined_replicates,conditional_on_required_label_support,status
PX081,harm_minus_entropy,clean,1,8101,macro_f1,0.6957920803879684,0.7494860283230648,0.05369394793509641,0.01244606570507023,0.09479849855672651,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8101,benign_false_alert_rate,0.0008741213259588018,0.0009573709760501163,8.324965009131452e-05,7.137096486407456e-06,0.00018553465787409082,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,benign_false_alert_count,168,184,16.0,1.0,35.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,attack_to_benign_count,121,1140,1019,156.0,2248.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,wrong_attack_stage_count,1406,381,-1025,-2251.0,-162.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,OtherAttackStage.exact_stage_recall,0.9676432710882164,0.9678042498390212,0.00016097875080489654,0.0,0.00038842493688096,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,OtherAttackStage.warning_recall,0.9967804249839022,0.9970218931101095,0.0002414681262072893,6.49561545956745e-05,0.000723065798987732,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,OtherAttackStage.attack_to_benign_count,40,37,-3,-5.0,-1.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,OtherAttackStage.wrong_attack_stage_count,362,363,1,0.0,3.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,OtherAttackStage.stage_f1,0.9834349053131007,0.983558282208589,0.00012337689548824748,7.32846015659705e-05,0.00020945792356452664,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,LateralMovement.exact_stage_recall,0.8,0.9142857142857143,0.11428571428571421,0.0,0.18181818181818177,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8101,LateralMovement.warning_recall,0.8,0.9142857142857143,0.11428571428571421,0.0,0.18181818181818177,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8101,LateralMovement.attack_to_benign_count,7,3,-4,-8.0,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,LateralMovement.wrong_attack_stage_count,0,0,0,0.0,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,LateralMovement.stage_f1,0.04483586869495596,0.26229508196721313,0.21745921327225717,0.05440325223837557,0.38323901674961475,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8101,DataExfiltration.exact_stage_recall,0.6751888436955259,0.6751888436955259,0.0,0.0,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,DataExfiltration.warning_recall,0.9785008715862871,0.6804183614177803,-0.29808251016850673,-0.955725840783312,-0.034086156419907976,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,DataExfiltration.attack_to_benign_count,74,1100,1026,163.0,2251.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,DataExfiltration.wrong_attack_stage_count,1044,18,-1026,-2251.0,-163.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8101,DataExfiltration.stage_f1,0.7556494878881482,0.7555266579973993,-0.00012282989074896555,-0.00028473165136977396,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,macro_f1,0.6954470890471685,0.7531554811925733,0.0577083921454048,0.011834049687692194,0.09954688348541241,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8102,benign_false_alert_rate,0.0008897306353509233,0.0008220902946517302,-6.764034069919303e-05,-8.074398457314945e-05,-4.0898401554139265e-05,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,benign_false_alert_count,171,158,-13.0,-20.0,-6.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,attack_to_benign_count,113,1166,1053,175.0,2266.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,wrong_attack_stage_count,1416,367,-1049,-2265.0,-173.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,OtherAttackStage.exact_stage_recall,0.9676432710882164,0.9673213135866066,-0.0003219575016097931,-0.001446131597975353,0.00012001920307247449,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,OtherAttackStage.warning_recall,0.9966194462330973,0.9965389568576948,-8.048937540250378e-05,-0.0005129520389843822,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,OtherAttackStage.attack_to_benign_count,42,43,1,0.0,3.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,OtherAttackStage.wrong_attack_stage_count,360,363,3,-2.0,7.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,OtherAttackStage.stage_f1,0.9829926410466067,0.9828263002944063,-0.0001663407522003446,-0.000853596890126096,6.0269606987573e-05,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,LateralMovement.exact_stage_recall,0.7714285714285715,0.7714285714285715,0.0,0.0,0.0,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8102,LateralMovement.warning_recall,0.7714285714285715,0.7714285714285715,0.0,0.0,0.0,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8102,LateralMovement.attack_to_benign_count,8,8,0,0.0,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,LateralMovement.wrong_attack_stage_count,0,0,0,0.0,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,LateralMovement.stage_f1,0.04285714285714286,0.27692307692307694,0.23406593406593407,0.049424541295296595,0.40790088826554466,0.95,1981,19,True,SUPPORT_CONDITIONAL
PX081,harm_minus_entropy,clean,1,8102,DataExfiltration.exact_stage_recall,0.6748983149331784,0.6748983149331784,0.0,0.0,0.0,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,DataExfiltration.warning_recall,0.9816966879721093,0.6760604299825683,-0.30563625798954097,-0.9620563035495716,-0.03638644918444167,0.95,2000,0,False,COMPLETE
PX081,harm_minus_entropy,clean,1,8102,DataExfiltration.attack_to_benign_count,63,1115,1052,174.0,2266.0,0.95,2000,0,False,COMPLETE
