dataset,native_class,observed_rows,dataset_total,support_status
SCVIC-APT-2021,DataExfiltration,527,259120,measured_original_rows
SCVIC-APT-2021,InitialCompromise,73,259120,measured_original_rows
SCVIC-APT-2021,LateralMovement,729,259120,measured_original_rows
SCVIC-APT-2021,NormalTraffic,254836,259120,measured_original_rows
SCVIC-APT-2021,Pivoting,2122,259120,measured_original_rows
SCVIC-APT-2021,Reconnaissance,833,259120,measured_original_rows
DAPT2020,Benign,63712,86691,measured_original_rows
DAPT2020,Data Exfiltration,15,86691,measured_original_rows
DAPT2020,Establish Foothold,8604,86691,measured_original_rows
DAPT2020,Lateral Movement,2451,86691,measured_original_rows
DAPT2020,Reconnaissance,11909,86691,measured_original_rows
DSRL-APT-2023,Benign,10000,65000,measured_original_rows
DSRL-APT-2023,Data Exfiltration,5002,65000,measured_original_rows
DSRL-APT-2023,Establish Foothold,22968,65000,measured_original_rows
DSRL-APT-2023,Lateral Movement,12664,65000,measured_original_rows
DSRL-APT-2023,Reconnaissance,14366,65000,measured_original_rows
S-DAPT-2026,,,,unmeasured_no_qualified_source_bytes
