dataset,condition,perturbation_seed,arm,rows,positive,precision,recall,f1,ap,roc_auc,other_label_flags,other_label_flag_rate,target_cost_error,context_selected_fraction
casino,clean,20260920,current,920,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8674180483004013,0.960719171389486,7,0.007751937984496124,0.020652173913043477,
casino,clean,20260920,context,920,17,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8522436792934762,0.976157905022474,16,0.017718715393133997,0.030434782608695653,
casino,clean,20260920,fixed_fusion,920,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8606314785559049,0.9711419451501531,8,0.008859357696566999,0.021739130434782608,
casino,clean,20260920,mixed_dropout,920,17,0.45161290322580644,0.8235294117647058,0.5833333333333334,0.8438442464409793,0.9693179597420364,17,0.018826135105204873,0.03152173913043478,
casino,clean,20260920,confidence_gate,920,17,0.6363636363636364,0.8235294117647058,0.717948717948718,0.8716877511874316,0.9684059670379781,8,0.008859357696566999,0.021739130434782608,0.6260869565217392
casino,clean,20260920,ordinary_gate,920,17,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.8671529436746829,0.9682105400299655,7,0.007751937984496124,0.020652173913043477,0.5152173913043478
casino,clean,20260920,target_cost_gate,920,17,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.8579928937314336,0.9667122663018696,16,0.017718715393133997,0.030434782608695653,0.42934782608695654
casino,random_25,20260920,current,920,17,0.2545454545454545,0.8235294117647058,0.3888888888888889,0.7483078117106412,0.9469741384926064,41,0.04540420819490587,0.057608695652173914,
casino,random_25,20260920,context,920,17,0.34146341463414637,0.8235294117647058,0.4827586206896552,0.7802181920596466,0.9621523027815777,27,0.029900332225913623,0.042391304347826085,
casino,random_25,20260920,fixed_fusion,920,17,0.32558139534883723,0.8235294117647058,0.4666666666666667,0.7699083314222467,0.95531235750114,29,0.03211517165005537,0.04456521739130435,
casino,random_25,20260920,mixed_dropout,920,17,0.34146341463414637,0.8235294117647058,0.4827586206896552,0.813253439384234,0.956484919549215,27,0.029900332225913623,0.042391304347826085,
casino,random_25,20260920,confidence_gate,920,17,0.32558139534883723,0.8235294117647058,0.4666666666666667,0.7610750521846636,0.9539443684450524,29,0.03211517165005537,0.04456521739130435,0.6293478260869565
casino,random_25,20260920,ordinary_gate,920,17,0.2545454545454545,0.8235294117647058,0.3888888888888889,0.7741521011558115,0.9534883720930233,41,0.04540420819490587,0.057608695652173914,0.558695652173913
casino,random_25,20260920,target_cost_gate,920,17,0.34146341463414637,0.8235294117647058,0.4827586206896552,0.7823999714575612,0.9536837991010357,27,0.029900332225913623,0.042391304347826085,0.5163043478260869
casino,random_25,20260921,current,920,17,0.2711864406779661,0.9411764705882353,0.42105263157894735,0.8344426149900934,0.9559637808611816,43,0.047619047619047616,0.051086956521739134,
casino,random_25,20260921,context,920,17,0.42424242424242425,0.8235294117647058,0.56,0.8143565506127978,0.9704905217901114,19,0.021040974529346623,0.03369565217391304,
casino,random_25,20260921,fixed_fusion,920,17,0.35714285714285715,0.8823529411764706,0.5084745762711864,0.8304869556970398,0.9647579962217445,27,0.029900332225913623,0.03804347826086957,
casino,random_25,20260921,mixed_dropout,920,17,0.4827586206896552,0.8235294117647058,0.6086956521739131,0.8148667040618678,0.9675591166699238,15,0.016611295681063124,0.029347826086956522,
casino,random_25,20260921,confidence_gate,920,17,0.35714285714285715,0.8823529411764706,0.5084745762711864,0.8263305645763818,0.9578529086053026,27,0.029900332225913623,0.03804347826086957,0.65
casino,random_25,20260921,ordinary_gate,920,17,0.2711864406779661,0.9411764705882353,0.42105263157894735,0.8206848539106363,0.958374047293336,43,0.047619047619047616,0.051086956521739134,0.5510869565217391
casino,random_25,20260921,target_cost_gate,920,17,0.42424242424242425,0.8235294117647058,0.56,0.8161858933276225,0.956484919549215,19,0.021040974529346623,0.03369565217391304,0.5076086956521739
casino,random_25,20260922,current,920,17,0.2545454545454545,0.8235294117647058,0.3888888888888889,0.7942262356715702,0.9837795583349619,41,0.04540420819490587,0.057608695652173914,
casino,random_25,20260922,context,920,17,0.4,0.8235294117647058,0.5384615384615384,0.8138149515611992,0.9815647189108202,21,0.023255813953488372,0.035869565217391305,
casino,random_25,20260922,fixed_fusion,920,17,0.2857142857142857,0.8235294117647058,0.42424242424242425,0.816605714145,0.9832584196469286,35,0.03875968992248062,0.051086956521739134,
casino,random_25,20260922,mixed_dropout,920,17,0.4117647058823529,0.8235294117647058,0.5490196078431373,0.8046606166833207,0.9627385838056153,20,0.0221483942414175,0.034782608695652174,
casino,random_25,20260922,confidence_gate,920,17,0.2857142857142857,0.8235294117647058,0.42424242424242425,0.8089682046532974,0.9839098430069703,35,0.03875968992248062,0.051086956521739134,0.6369565217391304
casino,random_25,20260922,ordinary_gate,920,17,0.2545454545454545,0.8235294117647058,0.3888888888888889,0.8126148597216465,0.983453846654941,41,0.04540420819490587,0.057608695652173914,0.5597826086956522
casino,random_25,20260922,target_cost_gate,920,17,0.4,0.8235294117647058,0.5384615384615384,0.81778136619724,0.9839098430069702,21,0.023255813953488372,0.035869565217391305,0.5076086956521739
casino,random_50,20260920,current,920,17,0.13725490196078433,0.8235294117647058,0.23529411764705882,0.6734134967226401,0.9336851019477558,88,0.09745293466223699,0.10869565217391304,
casino,random_50,20260920,context,920,17,0.19117647058823528,0.7647058823529411,0.3058823529411765,0.7220505239493853,0.939157058172106,55,0.06090808416389812,0.07717391304347826,
casino,random_50,20260920,fixed_fusion,920,17,0.16470588235294117,0.8235294117647058,0.27450980392156865,0.694181303339973,0.9358347990358935,71,0.07862679955703211,0.09021739130434783,
casino,random_50,20260920,mixed_dropout,920,17,0.21311475409836064,0.7647058823529411,0.3333333333333333,0.7731988424488405,0.9358999413718976,48,0.053156146179401995,0.06956521739130435,
casino,random_50,20260920,confidence_gate,920,17,0.16470588235294117,0.8235294117647058,0.27450980392156865,0.6802999023596619,0.9388313464920851,71,0.07862679955703211,0.09021739130434783,0.5880434782608696
casino,random_50,20260920,ordinary_gate,920,17,0.13725490196078433,0.8235294117647058,0.23529411764705882,0.7126031686530365,0.9394827698521269,88,0.09745293466223699,0.10869565217391304,0.5456521739130434
casino,random_50,20260920,target_cost_gate,920,17,0.19117647058823528,0.7647058823529411,0.3058823529411765,0.7216607545718992,0.9405901895641978,55,0.06090808416389812,0.07717391304347826,0.5641304347826087
casino,random_50,20260921,current,920,17,0.13274336283185842,0.8823529411764706,0.23076923076923078,0.6187697226400014,0.9326753957396912,98,0.10852713178294573,0.11521739130434783,
casino,random_50,20260921,context,920,17,0.22413793103448276,0.7647058823529411,0.3466666666666667,0.716919256762103,0.9490912644127418,45,0.04983388704318937,0.06630434782608696,
casino,random_50,20260921,fixed_fusion,920,17,0.1728395061728395,0.8235294117647058,0.2857142857142857,0.6693547281130605,0.9421861767962999,67,0.07419712070874862,0.08586956521739131,
casino,random_50,20260921,mixed_dropout,920,17,0.26,0.7647058823529411,0.3880597014925373,0.7783323300212533,0.9612077389095173,37,0.04097452934662237,0.057608695652173914,
casino,random_50,20260921,confidence_gate,920,17,0.1728395061728395,0.8235294117647058,0.2857142857142857,0.6275897619682244,0.9357370855318871,67,0.07419712070874862,0.08586956521739131,0.5956521739130435
casino,random_50,20260921,ordinary_gate,920,17,0.13274336283185842,0.8823529411764706,0.23076923076923078,0.7239210226094923,0.9401667643801707,98,0.10852713178294573,0.11521739130434783,0.5380434782608695
casino,random_50,20260921,target_cost_gate,920,17,0.22413793103448276,0.7647058823529411,0.3466666666666667,0.7170139589091871,0.936844505243958,45,0.04983388704318937,0.06630434782608696,0.5771739130434783
casino,random_50,20260922,current,920,17,0.14035087719298245,0.9411764705882353,0.24427480916030533,0.6723112301275921,0.9739430655983323,98,0.10852713178294573,0.1108695652173913,
casino,random_50,20260922,context,920,17,0.20270270270270271,0.8823529411764706,0.32967032967032966,0.7240673667590735,0.9752459123184157,59,0.06533776301218161,0.07282608695652174,
casino,random_50,20260922,fixed_fusion,920,17,0.1595744680851064,0.8823529411764706,0.2702702702702703,0.7166109533519401,0.9752459123184158,79,0.08748615725359911,0.09456521739130434,
casino,random_50,20260922,mixed_dropout,920,17,0.2413793103448276,0.8235294117647058,0.37333333333333335,0.7668923147950835,0.9697088137580614,44,0.048726467331118496,0.06086956521739131,
