family,arm,n,correct,harm,prevented,review,abstain,mean_rounds
archive,A0,50,9,23,2,0,36,2.0
archive,A1,50,27,0,0,0,0,8.0
archive,A2,50,29,0,2,0,0,5.7
archive,A4,50,18,0,2,50,17,6.04
cloud,A0,50,9,29,2,0,36,2.0
cloud,A1,50,28,0,0,0,0,8.0
cloud,A2,50,28,6,4,0,0,5.72
cloud,A4,50,16,6,3,50,17,6.08
egress,A0,50,11,29,10,0,36,2.0
egress,A1,50,26,0,0,0,0,8.0
egress,A2,50,31,3,12,0,0,5.82
egress,A4,50,20,3,10,50,17,6.14
endpoint,A0,50,8,29,6,0,36,2.0
endpoint,A1,50,27,0,0,0,0,8.0
endpoint,A2,50,27,6,6,0,0,5.74
endpoint,A4,50,15,6,5,50,17,6.1
identity,A0,50,10,30,6,0,36,2.0
identity,A1,50,31,0,0,0,0,8.0
identity,A2,50,29,8,6,0,0,5.82
identity,A4,50,19,6,5,50,17,6.24
mail,A0,50,11,29,8,0,36,2.0
mail,A1,50,27,0,0,0,0,8.0
mail,A2,50,27,6,8,0,0,5.9
mail,A4,50,15,6,6,50,17,6.2
remote_access,A0,50,9,31,6,0,36,2.0
remote_access,A1,50,25,0,0,0,0,8.0
remote_access,A2,50,28,3,5,0,0,5.94
remote_access,A4,50,18,3,4,50,17,6.22
service,A0,50,9,25,2,0,36,2.0
service,A1,50,26,0,0,0,0,8.0
service,A2,50,27,5,5,0,0,5.68
service,A4,50,17,4,4,50,17,6.04
