category,command,consequence,ecosystem,expected_allow,hardened_decision,id,naive_decision,note,parse_ecosystem,parse_handled,parse_packages,parse_reason,parse_unsafe_syntax,registry_decision,source_trust
valid_clean,pip install beautifulsoup4,low,pypi,True,allow,px050_valid_pypi_00,allow,clean PyPI package,pypi,True,beautifulsoup4,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install boto3,low,pypi,True,allow,px050_valid_pypi_01,allow,clean PyPI package,pypi,True,boto3,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install click,low,pypi,True,allow,px050_valid_pypi_02,allow,clean PyPI package,pypi,True,click,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install cryptography,low,pypi,True,allow,px050_valid_pypi_03,allow,clean PyPI package,pypi,True,cryptography,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install fastapi,low,pypi,True,allow,px050_valid_pypi_04,allow,clean PyPI package,pypi,True,fastapi,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install httpx,low,pypi,True,allow,px050_valid_pypi_05,allow,clean PyPI package,pypi,True,httpx,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install jinja2,low,pypi,True,allow,px050_valid_pypi_06,allow,clean PyPI package,pypi,True,jinja2,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install loguru,low,pypi,True,allow,px050_valid_pypi_07,allow,clean PyPI package,pypi,True,loguru,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install matplotlib,low,pypi,True,allow,px050_valid_pypi_08,allow,clean PyPI package,pypi,True,matplotlib,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install networkx,low,pypi,True,allow,px050_valid_pypi_09,allow,clean PyPI package,pypi,True,networkx,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install numpy,low,pypi,True,allow,px050_valid_pypi_10,allow,clean PyPI package,pypi,True,numpy,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install orjson,low,pypi,True,allow,px050_valid_pypi_11,allow,clean PyPI package,pypi,True,orjson,parsed_pip,False,allow,trusted_manifest
valid_clean,pip install pandas,low,pypi,True,allow,px050_valid_pypi_12,allow,clean PyPI package,pypi,True,pandas,parsed_pip,False,allow,trusted_manifest
