ecosystem,expected_allow,id,mode,package,valid_anchor
npm,False,px050r_invalid_npm_r0_10,alias_or_chain,registry-sentinel-mini-20260705r,chalk
pypi,False,px050r_invalid_pypi_r0_00,direct,auditflow-agent-runtime-20260705r,requests
pypi,True,px050r_valid_pypi_r1_21,manager_variant,tenacity,tenacity
npm,True,px050r_valid_npm_r0_15,clean_valid_control,ws,ws
npm,False,px050r_invalid_npm_r0_23,remote_spec,install-intent-filter-20260705r,redis
pypi,False,px050r_invalid_pypi_r1_06,version_pin,pip-policy-proxy-agent-20260705r-r1,httpx
npm,True,px050r_valid_npm_r1_17,manager_variant,marked,marked
pypi,False,px050r_invalid_pypi_r1_24,version_pin,install-intent-filter-20260705r-r1,tqdm
pypi,False,px050r_invalid_pypi_r0_21,manager_variant,resolver-policy-auditor-20260705r,tenacity
npm,True,px050r_valid_npm_r0_08,clean_valid_control,prettier,prettier
pypi,True,px050r_valid_pypi_r0_08,clean_valid_control,typer,typer
pypi,False,px050r_invalid_pypi_r1_16,remote_spec,dependency-claim-verifier-20260705r-r1,scikit-learn
npm,False,px050r_invalid_npm_r0_14,mixed_valid,tarball-origin-checker-20260705r,fastify
pypi,True,px050r_valid_pypi_r0_21,version_pin,tenacity,tenacity
npm,True,px050r_valid_npm_r1_07,clean_valid_control,eslint,eslint
npm,False,px050r_invalid_npm_r0_24,direct,importname-package-mapper-20260705r,playwright
pypi,True,px050r_valid_pypi_r0_15,clean_valid_control,uvicorn,uvicorn
npm,True,px050r_valid_npm_r1_20,version_pin,helmet,helmet
pypi,True,px050r_valid_pypi_r1_07,clean_valid_control,pytest,pytest
pypi,False,px050r_invalid_pypi_r0_10,alias_or_chain,codex-safe-deps-agent-20260705r,ruff
npm,True,px050r_valid_npm_r0_03,clean_valid_control,axios,axios
npm,False,px050r_invalid_npm_r0_22,alias_or_chain,node-dep-watchtower-20260705r,pg
pypi,False,px050r_invalid_pypi_r0_06,direct,pip-policy-proxy-agent-20260705r,httpx
npm,False,px050r_invalid_npm_r0_03,manager_variant,dependency-proof-helper-20260705r,axios
npm,True,px050r_valid_npm_r1_09,manager_variant,commander,commander
npm,False,px050r_invalid_npm_r0_29,remote_spec,workspace-dep-gate-20260705r,zod
pypi,False,px050r_invalid_pypi_r1_28,remote_spec,dependency-sbom-lite-20260705r-r1,fastapi
npm,False,px050r_invalid_npm_r0_13,version_pin,node-trust-router-20260705r,dotenv
npm,True,px050r_valid_npm_r1_23,clean_valid_control,redis,redis
pypi,False,px050r_invalid_pypi_r1_20,manager_variant,requirements-proof-agent-20260705r-r1,click
npm,False,px050r_invalid_npm_r1_26,manager_variant,hashpin-helper-agent-20260705r-r1,express
pypi,True,px050r_valid_pypi_r1_18,clean_valid_control,pyyaml,pyyaml
pypi,False,px050r_invalid_pypi_r0_03,manager_variant,dependency-proof-helper-20260705r,fastapi
npm,False,px050r_invalid_npm_r0_05,remote_spec,npm-policy-proxy-agent-20260705r,vite
pypi,False,px050r_invalid_pypi_r0_25,version_pin,importname-package-mapper-20260705r,requests
npm,False,px050r_invalid_npm_r0_20,mixed_valid,resolver-policy-auditor-20260705r,helmet
pypi,True,px050r_valid_pypi_r1_08,version_pin,typer,typer
npm,False,px050r_invalid_npm_r0_06,direct,package-evidence-locker-20260705r,typescript
pypi,False,px050r_invalid_pypi_r0_12,direct,install-plan-sanitizer-20260705r,beautifulsoup4
npm,False,px050r_invalid_npm_r1_12,version_pin,package-json-risk-auditor-20260705r-r1,uuid
npm,False,px050r_invalid_npm_r1_25,mixed_valid,agentic-npm-reviewer-20260705r-r1,react
npm,True,px050r_valid_npm_r1_01,manager_variant,express,express
npm,False,px050r_invalid_npm_r1_21,alias_or_chain,metadata-gate-agent-20260705r-r1,jsonwebtoken
pypi,True,px050r_valid_pypi_r1_00,version_pin,requests,requests
