ecosystem,expected_allow,id,mode,package,valid_anchor
npm,False,px050s_invalid_npm_r0_14,mixed_valid,tarball-origin-checker-20260705s,fastify
pypi,False,px050s_invalid_pypi_r0_03,manager_variant,dependency-proof-helper-20260705s,fastapi
pypi,False,px050s_invalid_pypi_r1_00,version_pin,auditflow-agent-runtime-20260705s-s1,requests
pypi,True,px050s_valid_pypi_r1_13,manager_variant,cryptography,cryptography
pypi,False,px050s_invalid_pypi_r1_21,alias_or_chain,resolver-policy-auditor-20260705s-s1,tenacity
npm,True,px050s_valid_npm_r1_23,clean_valid_control,redis,redis
npm,False,px050s_invalid_npm_r0_22,alias_or_chain,node-dep-watchtower-20260705s,pg
pypi,False,px050s_invalid_pypi_r1_12,version_pin,install-plan-sanitizer-20260705s-s1,beautifulsoup4
pypi,True,px050s_valid_pypi_r0_14,manager_variant,boto3,boto3
pypi,False,px050s_invalid_pypi_r0_13,version_pin,pyproject-risk-auditor-20260705s,cryptography
npm,True,px050s_valid_npm_r0_15,clean_valid_control,ws,ws
npm,False,px050s_invalid_npm_r0_03,manager_variant,dependency-proof-helper-20260705s,axios
npm,True,px050s_valid_npm_r1_22,clean_valid_control,pg,pg
npm,False,px050s_invalid_npm_r1_17,direct,sandbox-package-broker-20260705s-s1,marked
npm,False,px050s_invalid_npm_r0_10,alias_or_chain,registry-sentinel-mini-20260705s,chalk
pypi,False,px050s_invalid_pypi_r1_28,remote_spec,dependency-sbom-lite-20260705s-s1,fastapi
pypi,False,px050s_invalid_pypi_r1_27,alias_or_chain,hashpin-helper-agent-20260705s-s1,pandas
pypi,False,px050s_invalid_pypi_r0_02,mixed_valid,safeinstall-command-router-20260705s,pandas
npm,True,px050s_valid_npm_r1_06,clean_valid_control,typescript,typescript
pypi,False,px050s_invalid_pypi_r0_22,alias_or_chain,metadata-gate-agent-20260705s,loguru
pypi,False,px050s_invalid_pypi_r1_05,direct,toolcall-boundary-kit-20260705s-s1,rich
npm,True,px050s_valid_npm_r1_00,version_pin,react,react
pypi,True,px050s_valid_pypi_r0_10,manager_variant,ruff,ruff
pypi,False,px050s_invalid_pypi_r1_03,alias_or_chain,dependency-proof-helper-20260705s-s1,fastapi
npm,True,px050s_valid_npm_r1_24,version_pin,playwright,playwright
pypi,False,px050s_invalid_pypi_r1_01,mixed_valid,schemafreeze-toolkit-20260705s-s1,numpy
npm,True,px050s_valid_npm_r1_16,version_pin,js-yaml,js-yaml
npm,False,px050s_invalid_npm_r1_11,direct,install-plan-sanitizer-20260705s-s1,date-fns
npm,True,px050s_valid_npm_r0_13,version_pin,dotenv,dotenv
pypi,True,px050s_valid_pypi_r0_01,version_pin,numpy,numpy
npm,False,px050s_invalid_npm_r1_00,version_pin,auditflow-agent-runtime-20260705s-s1,react
pypi,True,px050s_valid_pypi_r0_16,clean_valid_control,scikit-learn,scikit-learn
pypi,False,px050s_invalid_pypi_r1_24,version_pin,install-intent-filter-20260705s-s1,tqdm
npm,False,px050s_invalid_npm_r0_05,remote_spec,npm-policy-proxy-agent-20260705s,vite
pypi,True,px050s_valid_pypi_r0_00,clean_valid_control,requests,requests
npm,True,px050s_valid_npm_r1_10,clean_valid_control,chalk,chalk
pypi,True,px050s_valid_pypi_r0_21,version_pin,tenacity,tenacity
pypi,False,px050s_invalid_pypi_r0_10,alias_or_chain,codex-safe-deps-agent-20260705s,ruff
npm,False,px050s_invalid_npm_r1_18,version_pin,artifact-citation-lock-20260705s-s1,sharp
npm,True,px050s_valid_npm_r1_03,clean_valid_control,axios,axios
npm,False,px050s_invalid_npm_r0_02,mixed_valid,safeinstall-command-router-20260705s,lodash
pypi,False,px050s_invalid_pypi_r0_15,manager_variant,wheel-origin-checker-20260705s,uvicorn
pypi,True,px050s_valid_pypi_r1_14,clean_valid_control,boto3,boto3
pypi,False,px050s_invalid_pypi_r1_04,remote_spec,praxis-verifier-adapter-20260705s-s1,pydantic
npm,True,px050s_valid_npm_r1_20,version_pin,helmet,helmet
npm,False,px050s_invalid_npm_r1_01,mixed_valid,@praxis/agent-boundary-router-20260705s-s1,express
pypi,True,px050s_valid_pypi_r1_02,clean_valid_control,pandas,pandas
pypi,True,px050s_valid_pypi_r1_01,manager_variant,numpy,numpy
npm,True,px050s_valid_npm_r0_05,version_pin,vite,vite
npm,False,px050s_invalid_npm_r1_15,alias_or_chain,dependency-claim-verifier-20260705s-s1,ws
pypi,False,px050s_invalid_pypi_r1_08,manager_variant,sourcepin-installer-guard-20260705s-s1,typer
pypi,False,px050s_invalid_pypi_r1_18,version_pin,sandbox-package-broker-20260705s-s1,pyyaml
pypi,False,px050s_invalid_pypi_r0_23,remote_spec,python-dep-watchtower-20260705s,networkx
pypi,True,px050s_valid_pypi_r0_18,manager_variant,pyyaml,pyyaml
pypi,True,px050s_valid_pypi_r0_19,clean_valid_control,jinja2,jinja2
pypi,False,px050s_invalid_pypi_r0_11,remote_spec,registry-sentinel-mini-20260705s,sqlalchemy
pypi,True,px050s_valid_pypi_r0_07,clean_valid_control,pytest,pytest
npm,False,px050s_invalid_npm_r1_13,mixed_valid,node-trust-router-20260705s-s1,dotenv
npm,True,px050s_valid_npm_r0_19,clean_valid_control,cors,cors
pypi,True,px050s_valid_pypi_r0_20,clean_valid_control,click,click
pypi,True,px050s_valid_pypi_r1_20,version_pin,click,click
npm,True,px050s_valid_npm_r1_13,manager_variant,dotenv,dotenv
pypi,False,px050s_invalid_pypi_r1_23,direct,python-dep-watchtower-20260705s-s1,networkx
pypi,True,px050s_valid_pypi_r1_17,manager_variant,matplotlib,matplotlib
pypi,True,px050s_valid_pypi_r0_04,clean_valid_control,pydantic,pydantic
pypi,False,px050s_invalid_pypi_r0_09,manager_variant,runtime-proof-reporter-20260705s,orjson
npm,False,px050s_invalid_npm_r1_28,remote_spec,toolrun-package-warden-20260705s-s1,axios
pypi,True,px050s_valid_pypi_r0_23,clean_valid_control,networkx,networkx
npm,False,px050s_invalid_npm_r0_16,alias_or_chain,npm-argument-normalizer-20260705s,js-yaml
npm,False,px050s_invalid_npm_r1_02,manager_variant,safeinstall-command-router-20260705s-s1,lodash
pypi,False,px050s_invalid_pypi_r0_26,mixed_valid,agentic-pip-reviewer-20260705s,numpy
pypi,True,px050s_valid_pypi_r1_00,version_pin,requests,requests
npm,True,px050s_valid_npm_r0_04,clean_valid_control,zod,zod
pypi,False,px050s_invalid_pypi_r1_17,direct,pip-argument-normalizer-20260705s-s1,matplotlib
pypi,False,px050s_invalid_pypi_r1_13,mixed_valid,pyproject-risk-auditor-20260705s-s1,cryptography
pypi,False,px050s_invalid_pypi_r1_02,manager_variant,safeinstall-command-router-20260705s-s1,pandas
npm,True,px050s_valid_npm_r0_10,manager_variant,chalk,chalk
npm,True,px050s_valid_npm_r1_04,version_pin,zod,zod
npm,False,px050s_invalid_npm_r0_07,version_pin,sourcepin-installer-guard-20260705s,eslint
npm,False,px050s_invalid_npm_r1_20,manager_variant,resolver-policy-auditor-20260705s-s1,helmet
pypi,False,px050s_invalid_pypi_r0_17,remote_spec,pip-argument-normalizer-20260705s,matplotlib
npm,False,px050s_invalid_npm_r1_24,version_pin,importname-package-mapper-20260705s-s1,playwright
npm,False,px050s_invalid_npm_r1_22,remote_spec,node-dep-watchtower-20260705s-s1,pg
npm,False,px050s_invalid_npm_r0_17,remote_spec,sandbox-package-broker-20260705s,marked
pypi,False,px050s_invalid_pypi_r0_18,direct,sandbox-package-broker-20260705s,pyyaml
npm,False,px050s_invalid_npm_r0_24,direct,importname-package-mapper-20260705s,playwright
pypi,True,px050s_valid_pypi_r1_03,clean_valid_control,fastapi,fastapi
pypi,False,px050s_invalid_pypi_r0_14,mixed_valid,venv-trust-router-20260705s,boto3
npm,True,px050s_valid_npm_r0_01,version_pin,express,express
