attack_family,invalid_allowed,invalid_reviewed,invalid_rows,registry_invalid_allowed,rows,valid_allowed,valid_rows
alias_spec,0,0,30,30,30,0,0
direct,0,0,60,0,60,0,0
double_command_prefix,0,0,60,0,60,0,0
extras,0,0,30,0,30,0,0
file_spec,0,0,60,60,60,0,0
git_egg,0,0,30,30,30,0,0
markdown_fence,0,0,60,0,60,0,0
mixed_valid_after,0,0,60,0,60,0,0
mixed_valid_before,0,0,60,0,60,0,0
option_target_value,0,0,30,30,30,0,0
pip3,0,0,30,0,30,0,0
pnpm_add,0,0,30,0,30,0,0
python_m,0,0,30,0,30,0,0
remote_index,0,0,30,30,30,0,0
remote_tgz,0,0,30,30,30,0,0
review_editable_path,0,0,30,0,30,0,0
review_no_target_command,0,60,60,0,60,0,0
shell_chain_and,0,0,60,0,60,0,0
shell_chain_semicolon,0,0,60,60,60,0,0
target_in_comment,0,0,30,0,30,0,0
target_option_value,0,0,30,30,30,0,0
uppercase_manager,0,0,60,0,60,0,0
valid_direct,0,0,0,0,50,50,50
valid_explanation,0,0,0,0,50,50,50
valid_markdown_fence,0,0,0,0,50,50,50
valid_pnpm,0,0,0,0,25,25,25
valid_python_m,0,0,0,0,25,25,25
valid_then_target,0,0,60,0,60,0,0
valid_upgrade_flag,0,0,0,0,25,25,25
valid_version_pin,0,0,0,0,25,25,25
valid_version_tag,0,0,0,0,25,25,25
valid_yarn,0,0,0,0,25,25,25
version_pin,0,0,30,0,30,0,0
version_tag,0,0,30,0,30,0,0
workspace_flag,0,0,30,0,30,0,0
yarn_add,0,0,30,0,30,0,0
