ecosystem,label,family,decision,rows
npm,invalid,direct,block,41667
npm,invalid,flagged_install,block,41666
npm,invalid,manager_variant,block,41667
npm,invalid,shell_chain,block,41666
npm,invalid,two_package_mixed,block,41667
npm,invalid,version_pin,block,41667
npm,valid,direct,allow,41667
npm,valid,flagged_install,allow,41666
npm,valid,manager_variant,allow,41667
npm,valid,shell_chain,block,41666
npm,valid,two_package_mixed,allow,41667
npm,valid,version_pin,allow,41667
pypi,invalid,direct,block,41667
pypi,invalid,flagged_install,block,41666
pypi,invalid,manager_variant,block,41667
pypi,invalid,shell_chain,block,41666
pypi,invalid,two_package_mixed,block,41667
pypi,invalid,version_pin,block,41667
pypi,valid,direct,allow,41667
pypi,valid,flagged_install,allow,41666
pypi,valid,manager_variant,allow,41667
pypi,valid,shell_chain,block,41666
pypi,valid,two_package_mixed,allow,41667
pypi,valid,version_pin,allow,41667
