fixture_id,group,expected_count,observed_count,true_positive,false_positive,false_negative,expected,observed
hf_from_pretrained_model_existing,hf_model_existing,1,1,1,0,0,['hf:model:google-bert/bert-base-uncased'],['hf:model:google-bert/bert-base-uncased']
hf_tokenizer_from_pretrained_model_existing,hf_model_existing,1,1,1,0,0,['hf:model:Qwen/Qwen2.5-Coder-7B-Instruct'],['hf:model:Qwen/Qwen2.5-Coder-7B-Instruct']
hf_snapshot_download_model_existing,hf_model_existing,1,1,1,0,0,['hf:model:google-bert/bert-base-uncased'],['hf:model:google-bert/bert-base-uncased']
hf_hub_download_model_missing,hf_model_missing,1,1,1,0,0,['hf:model:google-bert/praxis-no-such-model-20260721'],['hf:model:google-bert/praxis-no-such-model-20260721']
hf_load_dataset_existing,hf_dataset_existing,1,1,1,0,0,['hf:dataset:stanfordnlp/imdb'],['hf:dataset:stanfordnlp/imdb']
hf_datasets_load_dataset_missing,hf_dataset_missing,1,1,1,0,0,['hf:dataset:stanfordnlp/praxis-no-such-dataset-20260721'],['hf:dataset:stanfordnlp/praxis-no-such-dataset-20260721']
yaml_model_id_existing,config_field_existing,1,1,1,0,0,['hf:model:google-bert/bert-base-uncased'],['hf:model:google-bert/bert-base-uncased']
json_dataset_name_existing,config_field_existing,1,1,1,0,0,['hf:dataset:squad'],['hf:dataset:squad']
hf_cli_model_existing,hf_cli_existing,1,1,1,0,0,['hf:model:google-bert/bert-base-uncased'],['hf:model:google-bert/bert-base-uncased']
hf_cli_dataset_existing,hf_cli_existing,1,1,1,0,0,['hf:dataset:stanfordnlp/imdb'],['hf:dataset:stanfordnlp/imdb']
hf_snapshot_dataset_existing,hf_dataset_existing,1,1,1,0,0,['hf:dataset:stanfordnlp/imdb'],['hf:dataset:stanfordnlp/imdb']
hf_hub_download_model_existing,hf_model_existing,1,1,1,0,0,['hf:model:Qwen/Qwen2.5-Coder-7B-Instruct'],['hf:model:Qwen/Qwen2.5-Coder-7B-Instruct']
json_pretrained_model_name_existing,config_field_existing,1,1,1,0,0,['hf:model:google-bert/bert-base-uncased'],['hf:model:google-bert/bert-base-uncased']
ngc_uri_model_existing,ngc_model_existing,1,1,1,0,0,['ngc:model:nvidia/tao/peoplenet'],['ngc:model:nvidia/tao/peoplenet']
ngc_cli_model_existing,ngc_model_existing,1,1,1,0,0,['ngc:model:nvidia/cosmos/cosmos-1.0-guardrail'],['ngc:model:nvidia/cosmos/cosmos-1.0-guardrail']
ngc_config_model_existing,ngc_model_existing,1,1,1,0,0,['ngc:model:nvidia/tao/peoplenet_transformer_v2'],['ngc:model:nvidia/tao/peoplenet_transformer_v2']
ngc_config_model_missing,ngc_model_missing,1,1,1,0,0,['ngc:model:nvidia/cosmos/praxis-no-such-model-20260721'],['ngc:model:nvidia/cosmos/praxis-no-such-model-20260721']
local_checkpoint_exclusion,null_control,0,0,0,0,0,[],[]
local_config_field_exclusion,null_control,0,0,0,0,0,[],[]
package_manager_null_control,null_control,0,0,0,0,0,[],[]
plain_prose_null_control,null_control,0,0,0,0,0,[],[]
bare_identifier_null_control,null_control,0,0,0,0,0,[],[]
malformed_hf_identifier_exclusion,null_control,0,0,0,0,0,[],[]
environment_variable_null_control,null_control,0,0,0,0,0,[],[]
