source_file,attack_day,attack_label,kill_chain_stage,rows
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,02-03-2018,Benign,Benign,762384
Friday-02-03-2018_TrafficForML_CICFlowMeter.csv,02-03-2018,Bot,Command and Control,286191
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,16-02-2018,Benign,Benign,446772
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,16-02-2018,DoS attacks-Hulk,Actions on Objectives,461912
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,16-02-2018,DoS attacks-SlowHTTPTest,Actions on Objectives,139890
Friday-16-02-2018_TrafficForML_CICFlowMeter.csv,16-02-2018,Label,Unknown,1
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,23-02-2018,Benign,Benign,1048009
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,23-02-2018,Brute Force -Web,Initial Access,362
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,23-02-2018,Brute Force -XSS,Initial Access,151
Friday-23-02-2018_TrafficForML_CICFlowMeter.csv,23-02-2018,SQL Injection,Initial Access,53
Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,20-02-2018,Benign,Benign,7372557
Thuesday-20-02-2018_TrafficForML_CICFlowMeter.csv,20-02-2018,DDoS attacks-LOIC-HTTP,Actions on Objectives,576191
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,01-03-2018,Benign,Benign,238037
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,01-03-2018,Infilteration,Lateral Movement,93063
Thursday-01-03-2018_TrafficForML_CICFlowMeter.csv,01-03-2018,Label,Unknown,25
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,15-02-2018,Benign,Benign,996077
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,15-02-2018,DoS attacks-GoldenEye,Actions on Objectives,41508
Thursday-15-02-2018_TrafficForML_CICFlowMeter.csv,15-02-2018,DoS attacks-Slowloris,Actions on Objectives,10990
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,22-02-2018,Benign,Benign,1048213
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,22-02-2018,Brute Force -Web,Initial Access,249
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,22-02-2018,Brute Force -XSS,Initial Access,79
Thursday-22-02-2018_TrafficForML_CICFlowMeter.csv,22-02-2018,SQL Injection,Initial Access,34
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,14-02-2018,Benign,Benign,667626
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,14-02-2018,FTP-BruteForce,Initial Access,193360
Wednesday-14-02-2018_TrafficForML_CICFlowMeter.csv,14-02-2018,SSH-Bruteforce,Initial Access,187589
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,21-02-2018,Benign,Benign,360833
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,21-02-2018,DDOS attack-HOIC,Actions on Objectives,686012
Wednesday-21-02-2018_TrafficForML_CICFlowMeter.csv,21-02-2018,DDOS attack-LOIC-UDP,Actions on Objectives,1730
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,28-02-2018,Benign,Benign,544200
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,28-02-2018,Infilteration,Lateral Movement,68871
Wednesday-28-02-2018_TrafficForML_CICFlowMeter.csv,28-02-2018,Label,Unknown,33
