attack_day,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,Label,SQL Injection,SSH-Bruteforce
01-03-2018,238037,0,0,0,0,0,0,0,0,0,0,0,93063,25,0,0
02-03-2018,762384,286191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-02-2018,667626,0,0,0,0,0,0,0,0,0,0,193360,0,0,0,187589
15-02-2018,996077,0,0,0,0,0,0,41508,0,0,10990,0,0,0,0,0
16-02-2018,446772,0,0,0,0,0,0,0,461912,139890,0,0,0,1,0,0
20-02-2018,7372557,0,0,0,0,0,576191,0,0,0,0,0,0,0,0,0
21-02-2018,360833,0,0,0,686012,1730,0,0,0,0,0,0,0,0,0,0
22-02-2018,1048213,0,249,79,0,0,0,0,0,0,0,0,0,0,34,0
23-02-2018,1048009,0,362,151,0,0,0,0,0,0,0,0,0,0,53,0
28-02-2018,544200,0,0,0,0,0,0,0,0,0,0,0,68871,33,0,0
