trial,macro_f1,rf_n_estimators,rf_max_depth,mlp_hidden_layers,router_init_metric,router_epochs,min_train_rows_per_label,min_val_rows_per_label
11,0.6634214991295947,152,12.0,[128],nll,0,100,0
10,0.6634214991295947,160,12.0,[128],nll,0,100,0
0,0.6589593979794944,128,24.0,[128],nll,0,100,25
7,0.6585358289162496,56,24.0,"[256, 128]",nll,30,100,50
5,0.4925378078714695,144,24.0,"[128, 64]",macro_f1,30,100,10
3,0.4906789786939478,32,,"[128, 64]",nll,30,25,10
9,0.4868748312441407,96,16.0,[128],nll,60,50,10
8,0.2806692167999691,40,,[128],nll,60,0,10
1,0.2715858681875792,112,16.0,[64],macro_f1,30,0,25
2,0.2076323348379154,40,24.0,"[128, 64]",macro_f1,30,0,25
6,0.2043153969099627,64,16.0,"[128, 64]",macro_f1,10,0,10
4,0.2003480139205568,48,8.0,"[128, 64]",macro_f1,30,0,10
