model,class_name,seeds,f1_mean,f1_min,f1_max
Ablation-NoStage,Benign,5,0.9981466730325191,0.9972711147496248,0.9987051046139168
Ablation-OracleStage,Benign,5,0.9981194659053655,0.9972711147496248,0.9987051046139168
Baseline-Single,Benign,5,0.9398506176671029,0.9358474208929346,0.9458106948813269
Baseline-TSE,Benign,5,0.9981194659053655,0.9972711147496248,0.9987051046139168
Treatment-Stage,Benign,5,0.9980921790129162,0.9972711147496248,0.9987051046139168
Ablation-NoStage,Bot,5,0.995507369001225,0.9929933826391592,0.9968774395003904
Ablation-OracleStage,Bot,5,0.9954288772621712,0.9929933826391592,0.9968774395003904
Baseline-Single,Bot,5,0.9916048303790734,0.99057344854674,0.9925255704169944
Baseline-TSE,Bot,5,0.9954288772621712,0.9929933826391592,0.9968774395003904
Treatment-Stage,Bot,5,0.9954288772621712,0.9929933826391592,0.9968774395003904
Treatment-Stage,Brute Force -Web,1,0.0,0.0,0.0
Ablation-NoStage,Infilteration,5,0.0,0.0,0.0
Ablation-OracleStage,Infilteration,5,0.0,0.0,0.0
Baseline-Single,Infilteration,5,0.0,0.0,0.0
Baseline-TSE,Infilteration,5,0.0,0.0,0.0
Treatment-Stage,Infilteration,5,0.0,0.0,0.0
Ablation-NoStage,SSH-Bruteforce,1,0.0,0.0,0.0
Ablation-OracleStage,SSH-Bruteforce,1,0.0,0.0,0.0
Baseline-TSE,SSH-Bruteforce,1,0.0,0.0,0.0
Treatment-Stage,SSH-Bruteforce,1,0.0,0.0,0.0
