seed,domain,n,positive_rate,balanced_accuracy,balanced_error,auroc,explanation_drift,rank_spearman_to_reference,top_features
11,28-02-2018,12000,0.10608333333333334,0.4999732707864855,0.5000267292135145,0.5153729959222938,0.0,0.9999999999999998,"[np.str_('Bwd IAT Max'), np.str_('Dst Port'), np.str_('Flow IAT Mean'), np.str_('Flow Pkts/s'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd IAT Tot'), np.str_('Fwd Pkts/s'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts')]"
11,01-03-2018,12000,0.31716666666666665,0.5000229587521008,0.4999770412478992,0.6664281703375231,0.8235294117647058,0.3530362032389575,"[np.str_('Bwd IAT Min'), np.str_('Bwd Pkt Len Max'), np.str_('Bwd Pkt Len Std'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Init Bwd Win Byts'), np.str_('Pkt Len Max'), np.str_('Pkt Len Std'), np.str_('RST Flag Cnt')]"
23,28-02-2018,12000,0.10608333333333334,0.49983343672290764,0.5001665632770924,0.5069036432357406,0.0,1.0,"[np.str_('Bwd IAT Min'), np.str_('Bwd Pkt Len Max'), np.str_('Dst Port'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd Pkt Len Mean'), np.str_('Fwd Seg Size Avg'), np.str_('Init Bwd Win Byts'), np.str_('Pkt Size Avg')]"
23,01-03-2018,12000,0.31716666666666665,0.4999619384933749,0.5000380615066251,0.6647105606796613,0.75,0.5708013303350078,"[np.str_('ACK Flag Cnt'), np.str_('Bwd Header Len'), np.str_('Down/Up Ratio'), np.str_('Flow IAT Mean'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts'), np.str_('PSH Flag Cnt')]"
37,28-02-2018,12000,0.10608333333333334,0.4999732707864855,0.5000267292135145,0.5101888466534769,0.0,1.0,"[np.str_('Dst Port'), np.str_('Flow Duration'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd Pkt Len Max'), np.str_('Init Bwd Win Byts'), np.str_('Tot Bwd Pkts'), np.str_('Tot Fwd Pkts'), np.str_('TotLen Bwd Pkts'), np.str_('TotLen Fwd Pkts')]"
37,01-03-2018,12000,0.31716666666666665,0.5000933100120296,0.4999066899879704,0.6640287081879759,0.75,0.41464885661108075,"[np.str_('Bwd IAT Min'), np.str_('Dst Port'), np.str_('Flow Duration'), np.str_('Flow IAT Mean'), np.str_('Flow Pkts/s'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts'), np.str_('Init Fwd Win Byts')]"
51,28-02-2018,12000,0.10608333333333334,0.49983343672290764,0.5001665632770924,0.5110428999483064,0.0,1.0,"[np.str_('Bwd IAT Min'), np.str_('Down/Up Ratio'), np.str_('Dst Port'), np.str_('Flow IAT Mean'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts')]"
51,01-03-2018,12000,0.31716666666666665,0.4999619384933749,0.5000380615066251,0.6641474299472679,0.5714285714285714,0.6224618004219438,"[np.str_('Bwd IAT Min'), np.str_('Dst Port'), np.str_('Flow Duration'), np.str_('Flow IAT Max'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd Pkts/s'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts'), np.str_('URG Flag Cnt')]"
73,28-02-2018,12000,0.10608333333333334,0.49983343672290764,0.5001665632770924,0.5078409232460748,0.0,1.0,"[np.str_('Bwd Pkt Len Max'), np.str_('Bwd Pkts/s'), np.str_('Dst Port'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts'), np.str_('Pkt Len Max'), np.str_('TotLen Bwd Pkts')]"
73,01-03-2018,12000,0.31716666666666665,0.4999619384933749,0.5000380615066251,0.6701662784414367,0.75,0.446313075226865,"[np.str_('Bwd IAT Min'), np.str_('Bwd Pkt Len Max'), np.str_('Down/Up Ratio'), np.str_('Fwd IAT Mean'), np.str_('Fwd Pkt Len Mean'), np.str_('Init Bwd Win Byts'), np.str_('PSH Flag Cnt'), np.str_('Pkt Len Max'), np.str_('Subflow Fwd Byts'), np.str_('Subflow Fwd Pkts')]"
