seed,method,domain,n,positive_rate,balanced_accuracy,balanced_error,auroc,explanation_drift,rank_spearman_to_reference,confidence_drift,feature_mean_drift,top_features
11,permutation,reference_validation,3200,0.1909375,0.9991816693944353,0.0008183306055646877,0.9999917819251662,0.0,0.0,0.0,0.0,"[np.str_('Dst Port'), np.str_('Flow Duration'), np.str_('Fwd Pkt Len Max'), np.str_('Fwd Pkt Len Mean'), np.str_('Fwd Pkt Len Min'), np.str_('Fwd Pkt Len Std'), np.str_('Tot Bwd Pkts'), np.str_('Tot Fwd Pkts'), np.str_('TotLen Bwd Pkts'), np.str_('TotLen Fwd Pkts')]"
11,permutation,28-02-2018,2000,0.11,0.4991573033707865,0.5008426966292134,0.4937525536261491,0.8235294117647058,0.0,0.15628702792715113,0.16097394589887265,"[np.str_('Flow Byts/s'), np.str_('Flow Duration'), np.str_('Flow IAT Max'), np.str_('Flow IAT Mean'), np.str_('Flow IAT Std'), np.str_('Flow Pkts/s'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Tot'), np.str_('Tot Fwd Pkts'), np.str_('TotLen Fwd Pkts')]"
11,permutation,01-03-2018,2000,0.312,0.49636627906976744,0.5036337209302326,0.6607828339296363,0.18181818181818177,0.0,0.15152613058893338,0.14459014645826873,"[np.str_('Dst Port'), np.str_('Flow Duration'), np.str_('Fwd Header Len'), np.str_('Fwd Pkt Len Max'), np.str_('Fwd Pkt Len Mean'), np.str_('Fwd Pkt Len Min'), np.str_('Tot Bwd Pkts'), np.str_('Tot Fwd Pkts'), np.str_('TotLen Bwd Pkts'), np.str_('TotLen Fwd Pkts')]"
11,tree_shap,reference_validation,3200,0.1909375,0.9991816693944353,0.0008183306055646877,0.9999917819251662,0.0,1.0,0.0,0.0,"[np.str_('Down/Up Ratio'), np.str_('Dst Port'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd IAT Tot'), np.str_('Fwd Pkts/s'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts'), np.str_('Subflow Fwd Pkts'), np.str_('TotLen Fwd Pkts')]"
11,tree_shap,28-02-2018,2000,0.11,0.4991573033707865,0.5008426966292134,0.4937525536261491,0.33333333333333337,0.9691509528085402,0.15628702792715113,0.16097394589887265,"[np.str_('Down/Up Ratio'), np.str_('Dst Port'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd IAT Tot'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts'), np.str_('Subflow Fwd Pkts')]"
11,tree_shap,01-03-2018,2000,0.312,0.49636627906976744,0.5036337209302326,0.6607828339296363,0.33333333333333337,0.969111044597426,0.15152613058893338,0.14459014645826873,"[np.str_('Down/Up Ratio'), np.str_('Dst Port'), np.str_('Flow IAT Min'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd IAT Tot'), np.str_('Fwd Seg Size Min'), np.str_('Init Bwd Win Byts'), np.str_('Subflow Fwd Pkts')]"
11,lime,reference_validation,3200,0.1909375,0.9991816693944353,0.0008183306055646877,0.9999917819251662,0.0,1.0,0.0,0.0,"[np.str_('Bwd Pkts/s'), np.str_('Dst Port'), np.str_('Fwd IAT Max'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd IAT Tot'), np.str_('Fwd Pkts/s'), np.str_('Fwd Seg Size Min'), np.str_('Pkt Len Std'), np.str_('TotLen Fwd Pkts')]"
11,lime,28-02-2018,2000,0.11,0.4991573033707865,0.5008426966292134,0.4937525536261491,0.18181818181818177,0.8606832149413364,0.15628702792715113,0.16097394589887265,"[np.str_('Bwd Pkts/s'), np.str_('Dst Port'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Max'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd IAT Tot'), np.str_('Fwd Seg Size Min'), np.str_('Pkt Len Std'), np.str_('TotLen Fwd Pkts')]"
11,lime,01-03-2018,2000,0.312,0.49636627906976744,0.5036337209302326,0.6607828339296363,0.18181818181818177,0.8526618245670048,0.15152613058893338,0.14459014645826873,"[np.str_('Bwd Pkts/s'), np.str_('Dst Port'), np.str_('Fwd Header Len'), np.str_('Fwd IAT Max'), np.str_('Fwd IAT Mean'), np.str_('Fwd IAT Std'), np.str_('Fwd IAT Tot'), np.str_('Fwd Pkts/s'), np.str_('Fwd Seg Size Min'), np.str_('TotLen Fwd Pkts')]"
23,permutation,reference_validation,3200,0.1909375,0.9991816693944353,0.0008183306055646877,0.999986408568544,0.0,1.0,0.0,0.0,"[np.str_('Dst Port'), np.str_('Flow Duration'), np.str_('Fwd Pkt Len Max'), np.str_('Fwd Pkt Len Mean'), np.str_('Fwd Pkt Len Min'), np.str_('Fwd Seg Size Min'), np.str_('Tot Bwd Pkts'), np.str_('Tot Fwd Pkts'), np.str_('TotLen Bwd Pkts'), np.str_('TotLen Fwd Pkts')]"
