artifact,ok,source,status,tags,versions
requests,True,pypi,live,,163
numpy,True,pypi,live,,148
pandas,True,pypi,live,,115
flask,True,pypi,live,,64
scikit-learn,True,pypi,live,,75
pytest,True,pypi,live,,192
fastapi,True,pypi,live,,296
pydantic,True,pypi,live,,203
django,True,pypi,live,,434
beautifulsoup4,True,pypi,live,,54
react,True,npm,live,,2839
express,True,npm,live,,288
lodash,True,npm,live,,117
axios,True,npm,live,,142
vite,True,npm,live,,738
typescript,True,npm,live,,3761
webpack,True,npm,live,,875
next,True,npm,live,,3814
chalk,True,npm,live,,43
commander,True,npm,live,,124
psf/requests,True,github_repo,live,,
psf/requests,True,github_tags,live,30,
numpy/numpy,True,github_repo,live,,
numpy/numpy,True,github_tags,live,30,
pandas-dev/pandas,True,github_repo,live,,
pandas-dev/pandas,True,github_tags,live,30,
pallets/flask,True,github_repo,live,,
pallets/flask,True,github_tags,live,30,
scikit-learn/scikit-learn,True,github_repo,live,,
scikit-learn/scikit-learn,True,github_tags,live,30,
pytest-dev/pytest,True,github_repo,live,,
pytest-dev/pytest,True,github_tags,live,30,
fastapi/fastapi,True,github_repo,live,,
fastapi/fastapi,True,github_tags,live,30,
pydantic/pydantic,True,github_repo,live,,
pydantic/pydantic,True,github_tags,live,30,
django/django,True,github_repo,live,,
django/django,True,github_tags,live,30,
facebook/react,True,github_repo,live,,
facebook/react,True,github_tags,live,30,
