setting,method,shot,seed,group,group_external_id,group_degree,top1,top5,top10,mrr,rank
standard,random_uniform,5,13,APT38,G0082,56,0.0,0.0,0.0,0.008064516129032258,124.0
standard,frequency_prior,5,13,APT38,G0082,56,0.0,0.0,0.0,0.041666666666666664,24.0
standard,overlap_cosine,5,13,APT38,G0082,56,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,APT38,G0082,56,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,Indrik Spider,G0119,33,0.0,0.0,0.0,0.038461538461538464,26.0
standard,frequency_prior,5,13,Indrik Spider,G0119,33,0.0,0.0,0.0,0.018867924528301886,53.0
standard,overlap_cosine,5,13,Indrik Spider,G0119,33,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,Indrik Spider,G0119,33,0.0,1.0,1.0,0.3333333333333333,3.0
standard,random_uniform,5,13,BlackByte,G1043,48,0.0,0.0,0.0,0.01,100.0
standard,frequency_prior,5,13,BlackByte,G1043,48,0.0,0.0,0.0,0.03333333333333333,30.0
standard,overlap_cosine,5,13,BlackByte,G1043,48,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,BlackByte,G1043,48,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,SideCopy,G1008,16,0.0,0.0,0.0,0.05555555555555555,18.0
standard,frequency_prior,5,13,SideCopy,G1008,16,0.0,0.0,0.0,0.01098901098901099,91.0
standard,overlap_cosine,5,13,SideCopy,G1008,16,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,SideCopy,G1008,16,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,GALLIUM,G0093,31,0.0,0.0,0.0,0.006097560975609756,164.0
standard,frequency_prior,5,13,GALLIUM,G0093,31,0.0,0.0,0.0,0.017543859649122806,57.0
standard,overlap_cosine,5,13,GALLIUM,G0093,31,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,GALLIUM,G0093,31,1.0,1.0,1.0,1.0,1.0
standard,random_uniform,5,13,APT3,G0022,44,0.0,0.0,0.0,0.022727272727272728,44.0
standard,frequency_prior,5,13,APT3,G0022,44,0.0,0.0,0.0,0.02857142857142857,35.0
standard,overlap_cosine,5,13,APT3,G0022,44,1.0,1.0,1.0,1.0,1.0
standard,svd32_graph_embedding,5,13,APT3,G0022,44,0.0,1.0,1.0,0.25,4.0
standard,random_uniform,5,13,Mustard Tempest,G1020,12,0.0,0.0,1.0,0.1111111111111111,9.0
standard,frequency_prior,5,13,Mustard Tempest,G1020,12,0.0,0.0,0.0,0.009433962264150943,106.0
standard,overlap_cosine,5,13,Mustard Tempest,G1020,12,1.0,1.0,1.0,1.0,1.0
