setting,method,shot,top1,top5,top10,mrr,median_rank,queries
leave_query_out,frequency_prior,5,0.008264462809917356,0.04132231404958678,0.08264462809917356,0.04443911363771333,61.0,605
leave_query_out,overlap_cosine,5,0.0,0.0,0.0,0.008266368457468372,134.0,605
leave_query_out,random_uniform,5,0.0049586776859504135,0.02809917355371901,0.05289256198347107,0.03286599732081935,84.0,605
leave_query_out,svd32_graph_embedding,5,0.11570247933884298,0.2991735537190083,0.4132231404958678,0.21499038309359364,16.0,605
noisy_query,frequency_prior,5,0.008264462809917356,0.04132231404958678,0.08264462809917356,0.04443911363771333,61.0,605
noisy_query,overlap_cosine,5,0.4115702479338843,0.7884297520661157,0.9140495867768595,0.5670756810474078,2.0,605
noisy_query,random_uniform,5,0.0049586776859504135,0.02809917355371901,0.05289256198347107,0.03286599732081935,84.0,605
noisy_query,svd32_graph_embedding,5,0.22479338842975208,0.5768595041322314,0.7669421487603306,0.38931923192401496,4.0,605
standard,frequency_prior,5,0.008264462809917356,0.04132231404958678,0.08264462809917356,0.04443911363771333,61.0,605
standard,overlap_cosine,5,0.7206611570247934,0.9603305785123967,0.9917355371900827,0.8242056280188713,1.0,605
standard,random_uniform,5,0.0049586776859504135,0.02809917355371901,0.05289256198347107,0.03286599732081935,84.0,605
standard,svd32_graph_embedding,5,0.6231404958677685,0.8793388429752066,0.9487603305785124,0.7317678244655784,1.0,605
