model,split_role,strategy,budget_k,rows,correct,accuracy,ci_low,ci_high
qwen2p5_7b_instruct,validation_policy_selection,majority_vote,8,40,33,0.825,0.7,0.925
qwen2p5_7b_instruct,test_in_domain,majority_vote,8,40,29,0.725,0.575,0.85
qwen2p5_7b_instruct,strict_domain_holdout_test,majority_vote,8,80,18,0.225,0.1375,0.3125
qwen2p5_math_7b_instruct,validation_policy_selection,majority_vote,8,40,7,0.175,0.075,0.3
qwen2p5_math_7b_instruct,test_in_domain,majority_vote,8,40,2,0.05,0.0,0.125
qwen2p5_math_7b_instruct,strict_domain_holdout_test,majority_vote,8,80,5,0.0625,0.0125,0.1125
deepseek_r1_distill_qwen_7b,validation_policy_selection,majority_vote,8,40,2,0.05,0.0,0.125
deepseek_r1_distill_qwen_7b,test_in_domain,majority_vote,8,40,0,0.0,0.0,0.0
deepseek_r1_distill_qwen_7b,strict_domain_holdout_test,majority_vote,8,80,0,0.0,0.0,0.0
mistral_7b_instruct_v0p3,validation_policy_selection,single_sample,1,40,2,0.05,0.0,0.125
mistral_7b_instruct_v0p3,test_in_domain,single_sample,1,40,1,0.025,0.0,0.075
mistral_7b_instruct_v0p3,strict_domain_holdout_test,single_sample,1,80,3,0.0375,0.0,0.0875
