seed,split,row_position,true_stage,frozen_pred,tta_pred,hybrid_pred,frozen_conf,tta_conf,use_tta,prediction_changed,uncertain_override,recon_rescue,protected_de
42,test,476,Benign,Benign,Data Exfiltration,Data Exfiltration,0.39279717,0.60353833,True,True,True,False,False
42,test,4185,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.32116163,0.88700193,False,False,True,False,True
42,test,4219,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.7861106,0.9863578,False,False,False,False,True
42,test,4279,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.38563374,0.92443347,False,False,True,False,True
42,test,4357,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.6445906,0.99084514,False,False,False,False,True
42,test,4389,Benign,Benign,Data Exfiltration,Data Exfiltration,0.38194042,0.82280934,True,True,True,False,False
42,test,4476,Benign,Lateral Movement,Data Exfiltration,Data Exfiltration,0.33113274,0.3651037,True,True,True,False,False
42,test,4629,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.39838,0.91161406,False,False,True,False,True
42,test,4691,Benign,Benign,Data Exfiltration,Data Exfiltration,0.46442696,0.7445727,True,True,True,False,False
42,test,4874,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.35263512,0.9264676,False,False,True,False,True
42,test,4876,Establish Foothold,Establish Foothold,Data Exfiltration,Data Exfiltration,0.45058784,0.97302747,True,True,True,False,False
42,test,4884,Establish Foothold,Establish Foothold,Data Exfiltration,Data Exfiltration,0.4456736,0.9732616,True,True,True,False,False
42,test,5118,Benign,Lateral Movement,Data Exfiltration,Data Exfiltration,0.2769353,0.66797626,True,True,True,False,False
42,test,5639,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.35059732,0.89217687,False,False,True,False,True
42,test,5831,Benign,Benign,Data Exfiltration,Data Exfiltration,0.43622676,0.7614678,True,True,True,False,False
42,test,6045,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.36059627,0.900909,False,False,True,False,True
42,test,6291,Benign,Benign,Data Exfiltration,Data Exfiltration,0.41950554,0.7558467,True,True,True,False,False
42,test,6326,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.38099286,0.9119846,False,False,True,False,True
42,test,6681,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.30266708,0.8559832,False,False,True,False,True
42,test,7002,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.34677312,0.8869615,False,False,True,False,True
42,test,8380,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.4611972,0.9207843,False,False,True,False,True
42,test,8551,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.6875445,0.9534864,False,False,False,False,True
42,test,8796,Benign,Benign,Data Exfiltration,Data Exfiltration,0.36227775,0.6885512,True,True,True,False,False
42,test,8852,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.36599362,0.86118865,False,False,True,False,True
42,test,8879,Benign,Benign,Data Exfiltration,Data Exfiltration,0.36877164,0.5020133,True,True,True,False,False
42,test,8908,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.4456687,0.91091216,False,False,True,False,True
42,test,9055,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.40579876,0.90265185,False,False,True,False,True
42,test,9328,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.42539978,0.9139033,False,False,True,False,True
42,test,9903,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.4059439,0.9049563,False,False,True,False,True
42,test,9922,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.5590257,0.9582346,False,False,False,False,True
42,test,10889,Benign,Benign,Data Exfiltration,Data Exfiltration,0.43505234,0.45900208,True,True,True,False,False
42,test,10925,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.5055342,0.9381667,False,False,False,False,True
42,test,11864,Data Exfiltration,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.53571755,0.725505,False,False,False,False,True
42,test,11894,Benign,Benign,Data Exfiltration,Data Exfiltration,0.47702193,0.86756665,True,True,True,False,False
42,test,11988,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.5210621,0.9493671,False,False,False,False,True
42,test,12339,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.33084154,0.56262994,False,False,True,False,True
42,test,12383,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.5447771,0.9564832,False,False,False,False,True
42,test,13098,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.49401617,0.87780726,False,False,True,False,True
42,test,13126,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.5560036,0.91817284,False,False,False,False,True
42,test,13213,Establish Foothold,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.6237377,0.94685215,False,False,False,False,True
42,test,14864,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.50786966,0.87970173,False,False,False,False,True
42,test,15468,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.34369102,0.4633881,True,True,True,False,False
42,test,15816,Benign,Data Exfiltration,Data Exfiltration,Data Exfiltration,0.32416585,0.5457692,False,False,True,False,True
