seed,split,true_de_rows_in_detail,true_de_frozen_correct,true_de_hybrid_correct,changed_to_de_count,changed_to_de_true_de_count,changed_to_de_non_de_count,changed_to_de_mean_tta_conf,changed_to_de_max_tta_conf,changed_from_de_count,changed_from_de_true_de_count,changed_from_de_mean_frozen_conf
42,test,2192,2025,2030,53,5,48,0.7102474570274353,0.9863558411598206,0,0,
42,test_shuffle_bn_order,2192,2025,2069,72,44,28,0.6541679501533508,0.8989155292510986,0,0,
43,test,2192,2087,2092,90,5,85,0.7539430260658264,0.9981595873832703,0,0,
43,test_shuffle_bn_order,2192,2087,2099,60,12,48,0.6070102453231812,0.932743489742279,0,0,
44,test,2192,1881,2066,223,185,38,0.8240079283714294,0.9969082474708557,0,0,
44,test_shuffle_bn_order,2192,1881,2071,212,190,22,0.7942026853561401,0.9424941539764404,0,0,
45,test,2192,1083,1710,775,627,148,0.8083885312080383,0.9859500527381897,0,0,
45,test_shuffle_bn_order,2192,1083,1808,847,725,122,0.5925692319869995,0.8791750073432922,0,0,
46,test,2192,1502,1829,367,327,40,0.7851818799972534,0.9990803003311157,0,0,
46,test_shuffle_bn_order,2192,1502,1508,33,6,27,0.6055328845977783,0.9267287850379944,0,0,
47,test,2192,582,1039,487,457,30,0.892668604850769,0.9823209047317505,0,0,
47,test_shuffle_bn_order,2192,582,591,20,9,11,0.5183876752853394,0.7581521272659302,0,0,
48,test,2192,1372,1787,1085,415,670,0.5402125716209412,0.8477525115013123,0,0,
48,test_shuffle_bn_order,2192,1372,1410,838,38,800,0.4854096472263336,0.6947292685508728,0,0,
