seed,split,row_position,true_stage,frozen_pred,tta_pred,hybrid_pred,frozen_conf,tta_conf,use_tta,prediction_changed,uncertain_override,recon_rescue,protected_de
43,test,4332,Benign,Benign,Data Exfiltration,Data Exfiltration,0.46812138,0.9308651,True,True,True,False,False
43,test,4389,Benign,Benign,Data Exfiltration,Data Exfiltration,0.28960547,0.69279784,True,True,True,False,False
43,test,4476,Benign,Benign,Data Exfiltration,Data Exfiltration,0.47031596,0.44014078,True,True,True,False,False
43,test,4645,Benign,Benign,Data Exfiltration,Data Exfiltration,0.3518718,0.5414894,True,True,True,False,False
43,test,4691,Benign,Benign,Data Exfiltration,Data Exfiltration,0.31223935,0.6347468,True,True,True,False,False
43,test,5831,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.31148216,0.6313419,True,True,True,False,False
43,test,6291,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.3125105,0.6304456,True,True,True,False,False
43,test,6681,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.30081466,0.7134902,True,True,True,False,False
43,test,7002,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.28706995,0.74932903,True,True,True,False,False
43,test,8796,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.36334705,0.4996605,True,True,True,False,False
43,test,8878,Benign,Establish Foothold,Data Exfiltration,Data Exfiltration,0.48463112,0.7399367,True,True,True,False,False
43,test,9769,Benign,Benign,Data Exfiltration,Data Exfiltration,0.46996307,0.67434585,True,True,True,False,False
43,test,11885,Benign,Benign,Data Exfiltration,Data Exfiltration,0.49022612,0.57706624,True,True,True,False,False
43,test,12339,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.35102296,0.78578335,True,True,True,False,False
43,test,13245,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.4420841,0.5768242,True,True,True,False,False
43,test,13406,Benign,Reconnaissance,Data Exfiltration,Data Exfiltration,0.42622012,0.65273356,True,True,True,False,False
43,test,13558,Benign,Establish Foothold,Data Exfiltration,Data Exfiltration,0.44911924,0.9059289,True,True,True,False,False
