method,seed,split,accuracy,macro_f1,pr_auc,benign_f1,recon_f1,foothold_f1,lm_f1,de_f1,threshold_source,uncertainty_threshold,recon_rescue_threshold,de_keep_threshold,override_rate,uncertain_override_rate,recon_rescue_rate,protected_de_rate,shuffle_seed,accuracy_delta_vs_frozen,macro_f1_delta_vs_frozen,pr_auc_delta_vs_frozen,recon_f1_delta_vs_frozen,de_f1_delta_vs_frozen
frozen,42,val,0.7454836311928384,0.7381472879664367,0.7984988964126822,0.7677189534455227,0.6186342592592593,0.771837842898605,0.9933865734963814,0.5391588107324148,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid,42,val,0.7586368483986685,0.7425559446226779,0.7877377324070588,0.7879708493824481,0.6686560744146033,0.7752306667934937,0.9399237544367031,0.5409983780861416,original_locked_validation_selection,0.5,0.5,0.0,0.05014058106841612,0.011020263064344117,0.043757877387454354,0.05272598002779304,,0.01315321720583007,0.004408656656241239,-0.010761164005623436,0.050021815155343985,0.001839567353726812
frozen,42,test,0.9033232628398792,0.7811256461539607,0.8506692441874758,0.9378260396147412,0.07132667617689016,0.9899628546589742,0.9799512327282579,0.9265614275909403,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid,42,test,0.9318799435242678,0.8821489315919523,0.8584137684840941,0.9572248891982353,0.5977670797910478,0.9894803448548604,0.9485508251282763,0.9177215189873418,original_locked_validation_selection,0.5,0.5,0.0,0.059269155444898206,0.0227876542835021,0.05351531069243499,0.03308081191455768,,0.028556680684388658,0.10102328543799155,0.007744524296618316,0.5264404036141577,-0.008839908603598512
frozen,42,test_shuffle_bn_order,0.9033232628398792,0.7811256461539607,0.8506692441874758,0.9378260396147412,0.07132667617689016,0.9899628546589742,0.9799512327282579,0.9265614275909403,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid_bn_shuffled_stream,42,test_shuffle_bn_order,0.9260350088812643,0.8677516767790994,0.8612576514257784,0.9517125438010168,0.4853233539936849,0.9901852145005541,0.9801845819761129,0.9313526896241279,original_locked_validation_selection,0.5,0.5,0.0,0.04053500129044012,0.0227876542835021,0.034523068514779334,0.03308081191455768,10042.0,0.02271174604138515,0.08662603062513863,0.010588407238302566,0.4139966778167948,0.004791262033187582
frozen,43,val,0.7537892253498368,0.724770955104549,0.8408137165023246,0.7672418342039998,0.6213060400749604,0.8454928917356663,0.9950149551345963,0.3947990543735225,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid,43,val,0.7673302523995734,0.7342798871169711,0.8328607016933821,0.7782137418256742,0.6598996095928611,0.8420636176610223,0.9909921181033404,0.400230348401958,original_locked_validation_selection,0.5,0.4,0.0,0.026322593155156254,0.010147690915554406,0.02014995313964386,0.018275538894095594,,0.013541027049736587,0.009508932012422089,-0.007953014808942505,0.03859356951790072,0.005431294028435507
frozen,43,test,0.8987384050160167,0.7663449519400022,0.9005153772969198,0.9351101958377062,0.0013012361743656475,0.98816474672558,0.972740700953404,0.9344078800089546,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid,43,test,0.9234085837040186,0.8614405072779714,0.8924524969225924,0.9501354408676331,0.4776084407971864,0.9887817980723653,0.9725289523296525,0.9181479043230195,original_locked_validation_selection,0.5,0.4,0.0,0.04073236271994413,0.01355721204208353,0.03701285885621461,0.03453825016320272,,0.02467017868800192,0.0950955553379692,-0.008062880374327341,0.4763072046228207,-0.01625997568593507
frozen,43,test_shuffle_bn_order,0.8987384050160167,0.7663449519400022,0.9005153772969198,0.9351101958377062,0.0013012361743656475,0.98816474672558,0.972740700953404,0.9344078800089546,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid_bn_shuffled_stream,43,test_shuffle_bn_order,0.9069213135162216,0.8151785117577119,0.8930164921562074,0.9397614533489823,0.2491237530331626,0.9889363047257784,0.9707461084272678,0.9273249392533687,original_locked_validation_selection,0.5,0.4,0.0,0.02351637340782462,0.01355721204208353,0.019493236575627383,0.03453825016320272,10043.0,0.008182908500204977,0.04883355981770976,-0.007498885140712397,0.24782251685879694,-0.007082940755585909
frozen,44,val,0.7432052483598875,0.7354584546676752,0.7990939158073643,0.7673813708260105,0.6199012730579371,0.7449059561128527,0.994451717473973,0.5506519558676028,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid,44,val,0.7554858934169278,0.7383613849225189,0.791448979712159,0.7842428623057462,0.6652868930584679,0.7315919172005915,0.9619715591017309,0.5487136929460581,original_locked_validation_selection,0.5,0.5,0.0,0.039120318004072,0.008596451539928255,0.034482758620689655,0.06025595449697831,,0.012280645057040296,0.002902930254843672,-0.007644936095205335,0.04538562000053081,-0.0019382629215447533
frozen,44,test,0.8931211950993639,0.75790947650372,0.8682827195662318,0.9313149302463639,0.0025035205758097323,0.9894803448548604,0.9802382241472658,0.8860103626943006,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid,44,test,0.9177458288420957,0.8539430354073806,0.8704233776336656,0.9468878405113377,0.4396984924623116,0.9897103055247745,0.9688269073010665,0.9245916312374133,original_locked_validation_selection,0.5,0.5,0.0,0.04092972414944815,0.012494496652446523,0.0362689580834687,0.031183105861634457,,0.024624633742731716,0.09603355890366061,0.0021406580674337983,0.43719497188650186,0.03858126854311272
frozen,44,test_shuffle_bn_order,0.8931211950993639,0.75790947650372,0.8682827195662318,0.9313149302463639,0.0025035205758097323,0.9894803448548604,0.9802382241472658,0.8860103626943006,original_locked_validation_selection,,,,,,,,,,,,,
locked_hybrid_bn_shuffled_stream,44,test_shuffle_bn_order,0.9073767629689231,0.8227661450975703,0.8713874116516973,0.939773321007998,0.2746515229736706,0.9899453724962394,0.9803443134065338,0.9291161956034096,original_locked_validation_selection,0.5,0.5,0.0,0.025247081328090604,0.012494496652446523,0.021026583066389347,0.031183105861634457,10044.0,0.014255567869559171,0.06485666859385031,0.003104692085465488,0.2721480023978609,0.043105832909109076
frozen,45,val,0.7426720098245161,0.7261898478708113,0.821913674828925,0.7676451448370474,0.6209719259814377,0.7554277231397291,0.9924558887711203,0.4944485566247224,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid,45,val,0.7582975147852503,0.7333593277346966,0.8064944030632815,0.7851324748505482,0.6718464600201739,0.743361153262519,0.9671817137019538,0.4992748368382886,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.04837927802734059,0.023624082991306597,0.03398183757231038,0.0509162007562292,,0.015625504960734227,0.007169479863885275,-0.015419271765643505,0.05087453403873621,0.004826280213566181
frozen,45,test,0.8852571012160501,0.7164391567047783,0.7688091340478097,0.9286086811056552,0.05149826833308237,0.9900221729490022,0.9681903234429297,0.6438763376932224,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid,45,test,0.9184897296148415,0.8484436249060593,0.8087638644065619,0.9485113051264831,0.5292680335705938,0.9859783301465902,0.9521739130434783,0.8262865426431505,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.06749760889037332,0.03660295434878319,0.04574230669966145,0.01779289195220817,,0.033232628398791486,0.13200446820128098,0.03995473035875219,0.47776976523751147,0.1824102049499281
frozen,45,test_shuffle_bn_order,0.8852571012160501,0.7164391567047783,0.7688091340478097,0.9286086811056552,0.05149826833308237,0.9900221729490022,0.9681903234429297,0.6438763376932224,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid_bn_shuffled_stream,45,test_shuffle_bn_order,0.9146791358605717,0.8366169837754374,0.8158758141645782,0.9454967221381745,0.41999761364992244,0.9855072463768116,0.973379940844313,0.8587033958679648,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.050357527820370736,0.03660295434878319,0.028511135739118555,0.01779289195220817,10045.0,0.029422034644521644,0.12017782707065905,0.04706668011676851,0.3684993453168401,0.21482705817474246
frozen,46,val,0.7471479817729373,0.7387340113344878,0.8153646396685478,0.7682387554835186,0.6234019937372519,0.7717927249046423,0.9956418876852198,0.5345946948618067,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid,46,val,0.7732443525191481,0.7538148123289673,0.8045241328126196,0.7906807426283218,0.6929377305272293,0.7546269795840489,0.9901893394988439,0.5406392694063927,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.043596289952493296,0.017548395436770836,0.035209902078014416,0.05070613709077982,,0.02609637074621085,0.015080800994479504,-0.01084050685592819,0.06953573678997738,0.006044574544586068
frozen,46,test,0.8874128952921708,0.7376383132959393,0.8067726075880033,0.9330108922961039,0.0011479408810446262,0.991128010139417,0.9730020147750168,0.7899027083881146,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
locked_hybrid,46,test,0.9187326359896157,0.8496358421453098,0.8340356718395385,0.9492833069395379,0.45796779566907275,0.9908896458844966,0.9728202368137783,0.8772182254196643,fixed_canonical_extension_no_new_search,0.5,0.5,0.0,0.04458850141948413,0.026917062654663045,0.03725576523098878,0.02445763561007454,,0.03131974069744492,0.11199752884937053,0.02726306425153524,0.4568198547880281,0.08731551703154972
frozen,46,test_shuffle_bn_order,0.8874128952921708,0.7376383132959393,0.8067726075880033,0.9330108922961039,0.0011479408810446262,0.991128010139417,0.9730020147750168,0.7899027083881146,fixed_canonical_extension_no_new_search,,,,,,,,,,,,,
