seed,split,rows,override_count,override_rate,prediction_changed_count,prediction_changed_rate,override_to_recon,override_from_recon,override_to_de,override_from_de,recon_rescue_override_count,uncertain_override_count,protected_de_count,override_to_recon_fraction,override_to_de_fraction
42,test,65869,3904,0.059269155444898206,3570,0.054198484871487346,3722,268,53,0,3458,1130,2179,0.9533811475409836,0.013575819672131147
42,test_shuffle_bn_order,65869,2670,0.04053500129044012,2332,0.035403604123335715,2510,268,72,0,2235,1130,2179,0.9400749063670412,0.02696629213483146
43,test,65869,2683,0.04073236271994413,2566,0.03895610985440799,2458,76,90,0,2428,791,2275,0.9161386507640701,0.033544539694371975
43,test_shuffle_bn_order,65869,1549,0.02351637340782462,1369,0.020783676691615176,1346,76,60,0,1274,791,2275,0.8689477081988379,0.03873466752743705
44,test,65869,2696,0.04092972414944815,2637,0.04003400689246838,2419,54,223,0,2380,448,2054,0.8972551928783383,0.08271513353115727
44,test_shuffle_bn_order,65869,1663,0.025247081328090604,1580,0.023987004508949583,1411,54,212,0,1355,448,2054,0.8484666265784726,0.1274804570054119
45,test,65869,4446,0.06749760889037332,3924,0.059572788413365926,3258,486,775,0,3004,1734,1172,0.7327935222672065,0.1743139901034638
45,test_shuffle_bn_order,65869,3317,0.050357527820370736,2802,0.04253897888232704,2226,486,847,0,1878,1734,1172,0.6710883328308712,0.2553512209828158
46,test,65869,2937,0.04458850141948413,2798,0.0424782522886335,2473,437,367,0,2380,991,1611,0.8420156622403814,0.12495743956418114
46,test_shuffle_bn_order,65869,1399,0.02123912614431675,884,0.013420577206273057,1267,437,33,0,801,991,1611,0.9056468906361687,0.023588277340957826
47,test,65869,3347,0.05081297727307231,3283,0.04984135177397562,2776,25,487,0,2758,1003,727,0.8293994622049596,0.1455034359127577
47,test_shuffle_bn_order,65869,2230,0.03385507598415036,1968,0.029877484097223277,1952,25,20,0,1870,1003,727,0.8753363228699551,0.008968609865470852
48,test,65869,6374,0.09676782705066116,3320,0.05040307276564089,3070,1453,1085,0,2046,5288,1758,0.48164417947913396,0.17022278004392846
48,test_shuffle_bn_order,65869,5713,0.08673275744280314,2261,0.03432570708527532,2800,1453,838,0,1316,5288,1758,0.49011027481183267,0.14668300367582707
