seed,split,from_stage,to_stage,true_stage,count,fraction_of_rows,fraction_of_overrides
42,test,Benign,Benign,Benign,31,0.00047063110112496013,0.007940573770491803
42,test,Benign,Benign,Establish Foothold,1,1.518164842338581e-05,0.00025614754098360657
42,test,Benign,Benign,Lateral Movement,1,1.518164842338581e-05,0.00025614754098360657
42,test,Benign,Benign,Data Exfiltration,25,0.00037954121058464527,0.006403688524590164
42,test,Benign,Reconnaissance,Benign,553,0.008395451578132354,0.1416495901639344
42,test,Benign,Reconnaissance,Reconnaissance,2692,0.040868997555754606,0.6895491803278688
42,test,Benign,Reconnaissance,Lateral Movement,1,1.518164842338581e-05,0.00025614754098360657
42,test,Benign,Reconnaissance,Data Exfiltration,16,0.00024290637477417297,0.004098360655737705
42,test,Benign,Establish Foothold,Benign,4,6.072659369354324e-05,0.0010245901639344263
42,test,Benign,Lateral Movement,Benign,34,0.0005161760463951176,0.008709016393442622
42,test,Benign,Lateral Movement,Lateral Movement,1,1.518164842338581e-05,0.00025614754098360657
42,test,Benign,Data Exfiltration,Benign,28,0.0004250861558548027,0.007172131147540984
42,test,Benign,Data Exfiltration,Reconnaissance,1,1.518164842338581e-05,0.00025614754098360657
42,test,Benign,Data Exfiltration,Lateral Movement,2,3.036329684677162e-05,0.0005122950819672131
42,test,Benign,Data Exfiltration,Data Exfiltration,3,4.554494527015743e-05,0.0007684426229508197
42,test,Reconnaissance,Benign,Benign,3,4.554494527015743e-05,0.0007684426229508197
42,test,Reconnaissance,Reconnaissance,Benign,32,0.00048581274954834593,0.00819672131147541
42,test,Reconnaissance,Reconnaissance,Reconnaissance,225,0.0034158708952618075,0.057633196721311473
42,test,Reconnaissance,Reconnaissance,Lateral Movement,2,3.036329684677162e-05,0.0005122950819672131
42,test,Reconnaissance,Lateral Movement,Benign,1,1.518164842338581e-05,0.00025614754098360657
42,test,Reconnaissance,Data Exfiltration,Benign,5,7.590824211692905e-05,0.0012807377049180327
42,test,Establish Foothold,Benign,Establish Foothold,2,3.036329684677162e-05,0.0005122950819672131
42,test,Establish Foothold,Establish Foothold,Benign,6,9.108989054031487e-05,0.0015368852459016393
42,test,Establish Foothold,Lateral Movement,Benign,4,6.072659369354324e-05,0.0010245901639344263
42,test,Establish Foothold,Data Exfiltration,Benign,1,1.518164842338581e-05,0.00025614754098360657
42,test,Establish Foothold,Data Exfiltration,Establish Foothold,6,9.108989054031487e-05,0.0015368852459016393
42,test,Establish Foothold,Data Exfiltration,Data Exfiltration,2,3.036329684677162e-05,0.0005122950819672131
42,test,Lateral Movement,Benign,Benign,4,6.072659369354324e-05,0.0010245901639344263
42,test,Lateral Movement,Reconnaissance,Benign,3,4.554494527015743e-05,0.0007684426229508197
42,test,Lateral Movement,Reconnaissance,Reconnaissance,1,1.518164842338581e-05,0.00025614754098360657
42,test,Lateral Movement,Reconnaissance,Lateral Movement,197,0.0029907847394070046,0.05046106557377049
42,test,Lateral Movement,Establish Foothold,Benign,1,1.518164842338581e-05,0.00025614754098360657
42,test,Lateral Movement,Lateral Movement,Benign,9,0.0001366348358104723,0.002305327868852459
42,test,Lateral Movement,Lateral Movement,Lateral Movement,2,3.036329684677162e-05,0.0005122950819672131
